stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  5-6,0,21.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.35,14.13,0,0,11.3,0,0,0,0,0
 14-21,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,7.94,0,0,1.09,0,0,0.9,0.86,0.83,0
 24-34,0,0,0,0,0,0.7,0,0,0,0,1.37,0,0,0,0,1.37,1.52,0.77,13.2,0,0,0,0,0.84,0,0,0.92,0
 36-46,0,0,0,0,0,1.84,0,0,3.41,0,0,0,0,0,0,0,0,0,10.29,0,0,0,0,0,0,0,2.42,0
 48-58,0,0,0,0,0,7.44,0,0,0.42,0,0,0,0,0,0,0,1.85,0,19.85,0.83,0.46,0,0,0,0,0,7.5,0
 60-70,0,0,0,0,0,9.47,0,0,3.72,0,0,0,0,0,0,0,0.61,0,22.53,0,0,0,0,2.75,0,0,2.44,0
 72-82,0,0,0,0,0,6.79,0,0,2.66,0,0,1.02,0,0,0,0,4.36,1.1,19.33,0,0,2.52,0,0,0,0,2.59,0
 84-94,0,0,0,0,0,7.58,0.56,1.43,1.7,1.58,0,0,0.6,0.58,0,0,5.07,1.25,12.9,0,0,0,0,0.68,0,0,0,4.96
 96-106,0,0,2.12,0,0,12.25,0,0,2.76,0,0,0,0,0,0,0,2.37,0,16.07,0,0,0.98,0,1.49,0,0,1.75,0
108-118,0,0,0.67,0,1.94,4.25,0,0,1.58,0,0,0,0,0.55,0.88,0,6.66,0,16.16,0,0,0,0,2.43,0,0,0,0.49
120,0,0,2.55,1.3,0,7.25,0,0,3.01,0,0,0,0,0,0,0,0,3.66,36.07,0,0,0,0,0,0,0,0,0
