stage,axial,blastomeres,endoderm,eye,fast.muscle,hatching.gland,immune,neural,notochord,paraxial.mesoderm,vasculature
  3-4,0,58.72,0,0,0,0,0,0,0,0,0
  5-6,15.01,53.99,0,0,0,0,0,38.05,7.03,10.04,0
  7-9,17.96,5.84,26.42,0,0,31.11,0,19.66,0,114.56,0
 10-12,0,0,0,0,0,7.97,0,11.07,0,30.9,0
 14-21,0,0,0,0,0,0,0,0,0,1.41,0
 24-34,0,0,0,0,0,0,0.73,1.6,0,0,0
 48-58,0,0,0,0,0,0,3.13,8.34,0,0,1.88
 60-70,0,0,0,0,0,0,8.18,0,0,0,0
 72-82,0,0,0,0,1.65,0,15.74,0,0,0,0
 84-94,0,0,0,0.65,0,0,19.72,0,0,0,0
 96-106,0,0,0,0,0,0,23.94,0,0,0,0.59
108-118,0,0,0,0.83,0,0,25.65,0,0,0,0.5
120,0,0,0,0,0,0,22.24,0,0,0,0
