stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,31.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.62,0,0,6.85,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.84,4.75,0,18.89,0,0,0,0,0
 14-21,0,0.98,3.96,0,0.98,0,3.28,0,1.1,0,0,2.68,0,3.03,53.87,3.18,0,0,0,7.5,2.13,7.55,1.06
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,5.79,0,0.77,0,0.63,0,0,0,0
 36-46,0,0,1.44,0,7.46,0.64,16.99,0.59,0,0,0,12.99,0,5.36,97.38,0.6,0.72,0,8.24,0,0,51.7,1.72
 48-58,0,0,0,0,1.26,1.46,0.94,0.53,0,0.49,0,2.64,0.41,0.38,5.07,0,0,0,0,0,0,2.12,0
 60-70,0,0,5.87,0,1.86,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0
 72-82,0,0,0,3.11,0.5,0,0,0,0,0,0,6.89,0,0,0,0,0,0,0,0,0,0,0.76
 84-94,0,0,1.44,0,0,0,0,0,0,0,2.31,0,0,1.03,0.91,0,0,0,0,0,0,4.23,0
 96-106,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0
108-118,0,0,0.69,12.75,0.45,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,4.92,0.58
120,0,0,0,10.39,8.2,0,0,0,0,0,0,0,0,0,1.79,0,0,0,0,0,0,0,0
