stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,10.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,0,0,4.68,0,0,0,0,0
 14-21,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0,10.67,0,0.63,0,0,0,1.17,0,0
 36-46,0,0,1.24,0,6.71,0,0,0,0,0,0,1.24,0,0,3.5,0,0,0,0,0,7.62,6.8,0
 48-58,0,0,0,0,1.79,0.97,0,0,0,0,0.39,2.84,0.61,0,10.62,0.51,0,0,0,0,7.46,0,0
 60-70,0,0,0,0,7.11,0.76,0,0.76,2.54,0,0,0,1.3,0,36.39,0,0,0,0,0,6.89,0,0
 72-82,0,0,0,4.19,0,0,0.57,0,0,0.51,0,1.33,0,0,29.88,0,0,0,0,0,0,0,0
 84-94,0,0,1.52,0,0.81,4.56,0,0.73,0,0,0,0,0,0,11.9,1.31,0,0,0,0,0,0,0
 96-106,0,0.74,2.89,0,1.26,0,0,0,0,0,0,0,0,0,10.89,0,0,0,0.6,0,0,10.21,0
108-118,0,3.86,0,0,8.8,0.63,0.63,0,2.08,0,0,10.78,0,2.08,12.7,0.58,0,0,0.41,0.51,0,0,3.34
120,0,0,1.18,0,32.12,3.25,0,3.85,0,0,0,10.99,0,0,24.4,0,7.79,0,0,0,0,3.24,0
