stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,50.37,853.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.23,0,0,0,0,0,0,0,0
  5-6,0,417.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.87,0,0,10.03,0,23.83,0,0,0,0,0,0,0,0
  7-9,0,7,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.45,0,0,17.63,0,0,18.94,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,7.15,0,0,0,0,0,0,0,0,0,0,0,27.15,0,0,3.24,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,12.91,0,1.28,0,0,0,0,0,0,8.51,0,0,0,0
 24-34,0,0,0.67,0,0,3.57,0,0,0,0,0,0,0,2.7,0.78,0,0.95,60.03,1.42,0,0,0,0,0,0,0,15.75,0,1.08,0,0
 36-46,0,0,0,1.36,0,5.19,2.12,0,0,0,1.49,0,0,0,4.41,0,0,45.36,1.15,0,0,0,0,0,0.67,0,11.23,0,1.54,0,1.27
 48-58,0,0,0,1.16,0,49.68,6.74,0,0,0,0,0,0.39,0.4,1.98,0.53,0,59.16,0,0,0,0,0,0,0,0,16.72,0,0,0,0
 60-70,0,0,0,0,0,100.22,3.35,0,0,0,3.41,0,0,0,3.24,0,0,95.44,0,0,0,0,0,0,0,0,15.85,0,0,0,0
 72-82,0,0,0,0,0,39.69,6.49,0,0.51,0,0,0,0,0,8.9,0,0,82.24,0,5.08,0,0,0,0,0,0.79,1.23,0.97,0.89,0.84,0
 84-94,0,0,0,0.63,0,30.18,6.35,0,0,0,0,0,0,0,2.74,0,0,54.29,3.11,0,0,0,1.02,0,0.6,0,2.7,1.63,0.64,0,2.23
 96-106,0,0,0,0,4.76,20.41,6.74,0,0,0,0,0.66,0,0,0.82,0,0,30.35,0,0,0,0,0,0,0,0,0.84,0,1.17,0,3.59
108-118,0,0,0,0,0,27,3.75,0.74,0,0.71,0.43,0,0,0,1.59,0,0,23.39,0,0,0,2.98,0,0,0,0,0,0.54,1.34,0,0
120,0,0,0,2.59,0,31.67,7.08,0,0,0,0,1.77,0,1.51,0,0,0,85.14,0,0,0,0,0,0,1.22,0,0,0,0,0,0
