stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,heart,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0.99,0,0,0
 24-34,0,0.98,0.73,0,0,1.15,4.87,2.9,0,0,2.01,0,0,0,10.02,0,0,0,0,1.16,0,0,0,0
 36-46,0,0,10.87,0,0,3.68,11.05,0.99,0,0,6.41,0,0,0,7.22,0,0,0,0,0,2.54,0,0,0
 48-58,0,0,100.45,0,0,16.29,75.55,0.38,0,0,12.95,0,1.53,0.65,26.23,0,0,0.45,1.5,0,3.21,0,0,0
 60-70,0,0,491.52,0,0,27.12,98.05,0,0,0,3.64,0,0,1.46,13.28,0,1.03,0,0,0,10.23,0,0,0
 72-82,0,1.95,447.82,0,0,28.54,83.7,1.41,0,0,3.24,0,0.98,1.48,35.75,0.51,0,0,0,0,0,1.52,0,0
 84-94,1.14,0.82,501.12,0.56,0,10.55,144.36,0,0,0,16.08,0,0,0,18.76,0.98,1.76,0,4,0,3.86,0,0,6.14
 96-106,0,1.52,374.94,0,6.94,12.37,14.81,2.56,1.73,10.64,7.06,0,0,0,8.5,0,0,0,0,0,0,0,0,0
108-118,0,0.82,310.62,0,0,16.23,0,0,0,0.67,6.44,6.28,1.96,1.35,20.49,0,0,0,0,0,0,0,0,0
120,0,0,295.98,0,0,40.33,0,2.63,0,0,4.73,0,0,0,43.81,0,2.38,0,0,0,5,0,7.78,0
