stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,5.24,81.16,12.14,0,36.38,0,0.88,0,6.1,0,0.81,0,0,2.14,0,0,0,29.83,0,0,15.76,628.8,7.45,3,4.79,4.56,0,13.84,23.48,2.77,0,15.66,114.46,0,0,2.03,0,1.71
 24-34,0,11.95,1.4,0,117.14,0,4.96,0,9.91,0.89,0,0.69,9.97,2.87,0,0.97,0.61,50.71,0.62,0,16.4,1026.69,3.1,11.98,7.85,0,0,74.13,0,2.65,0,0.95,179.93,0,0,26.59,0,3.22
 36-46,0.6,11.6,3.8,0,425.03,1.46,4.85,0,26.25,1.28,0,0,23.68,4.22,0.56,0.72,0.78,64.89,0,0,5.83,880.31,0,6.82,3.28,0,0,316.46,0,0,0,0,164.05,0,0,17.9,0,18.75
 48-58,0,19.8,1.99,0,381.61,0,2.58,0,16.39,2.44,0,0.71,13.8,8.6,3.17,2.09,0,51.83,0,4.29,7.17,501.07,0,1.53,9.13,0,0,268.12,0,0,0,0,75.65,0,0,10.97,0,0.82
 60-70,0,16.09,0,0,311.47,3.52,4.31,0,16.49,0.65,0,0.7,23.35,0,0,1.84,2.32,71.61,3.9,2.38,14.4,358.39,0,5.87,4.16,0,0,211.01,0,0,0.65,0,25.44,0,0,5.83,0,3.21
 72-82,0.64,22.37,0,0,79.19,0.5,0.57,1.05,31.42,1.18,0,1.34,15.25,0.58,1.38,1.6,0,39.75,0.95,2.81,7.18,140.91,0,8.39,0.58,0,0,197.16,0,0,0,0,2.82,3.4,2.13,15.6,0,0
 84-94,0,56.14,0.86,0.73,102.02,2.3,5.14,0,31.2,5.25,0,1.57,13.57,0.82,2.52,3.19,0,53.11,2.48,1.93,4.66,99.05,0,10.44,1.21,0,0,490.32,0,0.73,0,0,3.16,0,0,15.59,1.09,0
 96-106,0,52.25,0,0,62.76,1.37,4.91,1.54,22.72,6.92,0,3.72,13.77,1.73,0.76,8.67,0,21.08,2.8,0,4.25,82.44,0,9.6,1.47,0,0,400.44,0,0,0.64,0,11.51,0,3.15,11.3,1.44,0
108-118,0,64.14,1.09,0.58,71.83,0.54,8.24,0,14.28,12.1,0,0,21.34,5.48,0,5.31,0,18.22,3.09,3.72,5.12,121.5,1.51,7.45,0.79,0,0.76,325.65,0,0,1.82,0,0,1.21,2.01,15.15,3.8,0
120,0,45.76,2.85,0,133.42,0,8.82,1.44,25.62,1.62,0,0,43.17,4.8,0,0,0,24.61,3.31,0,5.58,278.64,0,15.7,11.86,0,0,114.24,0,0,1.21,0,0,0,0,17.41,0,0
