stage,blastomeres,endoderm,eye,fin.epithelia,glial,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pgc,spinal.cord,vasculature
  3-4,28.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.58,0,18.97,0,0,0,0,0,68.39,0,0,3.8,0,0,0
 10-12,0,7.75,5.88,0,0,0,0,0,45.18,5.34,0,10.49,3.78,0,0
 14-21,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,7.88,0,3.56,9.19,0,0,0,0,0,0
 36-46,0,0,2.05,0,0,2.41,0.89,1.46,10.12,0,0,0,0,4.21,0
 48-58,0,0,2.89,0,0.71,0.38,0,0,2.95,0,0,0,0,0,0
 60-70,0,0,4.64,0,0,0,0,0,4.36,0,0,0,0,9.74,0
 72-82,0,0,1.26,0,0.76,1.54,0,1.08,1.96,0,0,0,0,0,0
 84-94,0,0,0.9,0,0,1.5,0,0,1.77,0,0,0,0,0,0
 96-106,0,0,8.27,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,1.83,0,0,0,0,0,4.07,0,0,0,0,0,0
120,0,0,1.8,0,0,10.73,0,0,27.3,0,1.02,0,0,0,4.78
