stage,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,periderm,somites,spinal.cord,vasculature
 14-21,1.82,1.87,0,0,0,0,0.92,0.92,7.7,0,0,0.83,0,0,5.49,1.13,0,0,1.71,8.38,0
 24-34,0,2.23,0,2.67,0,0,0,20.94,0,0,0,0,0,0,13,0,0,0,0,7.18,4.67
 36-46,0,0,0,0,0,0,0,7.19,1.21,0,0.77,0,0,0,4.6,0,0,0,0,0,4.61
 48-58,0.51,0,0,1.35,0,0,0,14.54,0,0,0.85,0,0,0,9.81,0,0,0,0,0.89,1.35
 60-70,0,0,0,2.94,0,0,0,19.68,0.67,0,2.21,0,5.29,0,1.04,0,2.28,0,0,1.37,3.5
 72-82,0,1.04,0,0,0,0,0,14.2,0,0,0.62,0,0,0.84,8.95,0,0,0,0,0,3.42
 84-94,0,0.64,0,0.65,0,0,0,38.08,0,0,0,0,0,0,2.43,0,0,0,0,0,6.35
 96-106,0,0,0,2.74,0,0,0,41.58,3.98,0,2.35,0,0,0,4.53,0,0,0.99,0,0,7.93
108-118,1.02,0.69,3.16,0,0,1.33,0,41.63,1.08,0,0,0,0,0,1.63,0,0.81,0.68,0,0,2.26
120,1.16,1.13,0,1.31,3.65,0,0,69.07,7.36,1.74,0,0,0,0,0,0,0,0,0,0,5.03
