stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,10.9,10.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95,0,0,0,6.99,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.43,0,0,0,0,19.11,0,0,0,0,0,0,0,14.94,3.88,0,0,33.43,0,0,0,0,0
 14-21,0,0,0,11.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,3.83,0,0,0,0,0,3.46,1.13,3.39,0
 24-34,0,0,0.67,0.61,0,0,1.76,0,0.64,1.48,0,0,0,0.72,0,0,1.1,0,2.09,25.16,0,0,0,0,12.94,0,0,8.37,0
 36-46,0,0,0,0,0,0,2.94,0,0,0.58,0,0,0,0,0,0,0.91,0,0,41.9,0,2.54,0,0,1.95,0,0,3.71,0
 48-58,0,0,0,0,0,0,11.09,0.55,0,1.41,0,0,0,0,0,0,1.52,0,0,44.46,0,0,0.68,0,0,0,0,6.68,0
 60-70,0,0,0,0.78,0,0,13.13,0,0,5.49,0,0,0,0,0,0,0.6,0,0,17.92,0,0,0,0,0,0,0,5.33,0
 72-82,0,0,0,0,5.28,0,25.95,0,0,3.02,0,0,0,0,1.57,0,3.27,0.58,0.85,24.22,0,0,0,0,0,0,0,0.6,0
 84-94,0,0,0,0,0.67,0,19.6,0,0,5.12,0.8,0,0,0,0,0,3.92,0,4.74,14.46,0,0,0,0,0,0,0,1.19,0
 96-106,0,0,0,0,16.65,0,2.71,0,0,5.58,4.61,0,0.79,0,0.65,0,5.02,0,0,3.03,0,1.36,0.63,0,0,0,0,0,0
108-118,0,0,0.55,0,0,1.57,15.04,0,0,0,11.57,0,0,0,0,1.13,2.12,0,0,24.93,0,0,0,0,0,0,0,0,0
120,0,0,0,1.66,0,0,12.54,0,0,0,17.77,0,0,0,0,0,0,0,0,68.8,0,0,0,0,0,0,0,0,14.71
