stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,139.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.01,174.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.64,0,0,8.62,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.85,1.83,0,0,0,0,0,0,0,0,0,0.94,0,1.32,5.97,16.63,3.5,0,0,1.06,0,3.63,0,3.49,0
 24-34,0,0,0.6,0,0,2.46,0,0,4.67,0,0,0,0,0,9.87,0,0.8,43.14,9.52,10.14,0,0,0,0,11.81,0,0,0
 36-46,0,0,0,0,0,10.15,0,0,23.67,0,0,0,0,0,7.46,0,0,43.01,6.97,5.18,0,10.28,0,0,29.44,0,0,0
 48-58,0,0,0,0,0,4.54,2.44,0,69.45,0,0,0,0.48,0,31.51,0,0,23.58,11.37,6.26,0,0,0,0,18.51,0,0,0.62
 60-70,0,0,0,0,0,1.1,0,0,19.8,0,0,0,0,0,42.67,0,0,13,3.1,15.52,0,0,0,0,1.6,0,0,0.65
 72-82,0,0,0,0,0,2.35,0,0,39.68,0,0,0,0,0,63.68,0,0,5.85,0,2.92,0,0,0,0.55,0,0.85,0.8,0.99
 84-94,0,0,0,0,0.67,2.93,0,0,34.16,0,0,3.25,0,0,40.45,0.8,0.79,2.07,2.83,18.99,0,0,0,0.8,0,0,0,1.67
 96-106,1.12,0,0,0,0,0.6,0,0,56.32,1.52,0.65,0,0,0,38.03,0,0.61,5.82,1.3,10.43,0,0,0,0,0.87,1.64,0,1.95
108-118,0,0,0,0.83,0,3.96,0,1.5,55.37,0,0,0.53,0,0.66,33.07,0,0.42,8.16,4.76,21.15,0,0,0,0,1.03,0,0,8.05
120,0,0,0,0,0,0,0,0,79.49,3.83,0,0,0,0,85.39,0,3.51,0,0,36.73,0,0,0,1.74,0,0,0,1.16
