stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,visceral_smooth_muscle
  3-4,10.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.21,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,31.63,0,0,1.09,0,0,0,0,0,0,0,0,0,2.58,0,0,2.93,0,19.07,1.95,0,4.38,0,0,0
 24-34,0,0,16.62,0,0,0,0,0,0,3.02,1.1,0,0.7,0,0,15.72,0,0,0.63,0,15.75,0,0,0.78,0,0,0
 36-46,0,0,19.53,0,0,0,0.79,0,0,13.72,0,0,0,0,0,24.42,0,0.6,0,0,14.14,0,0,0,0.78,0,0
 48-58,0,0,24.95,0,0,1.51,0.39,1.33,0,0.4,0.49,0,0,0,0,24.31,0,0,0,0,0,0,0.53,0,0,0,0
 60-70,0,0,15.09,0.63,0,5.57,1.39,3.57,0,2.46,0.92,0,0,3.41,0,27.64,0,0.83,0,0,1.32,0,0.58,0,0,0,0
 72-82,0,0,7.93,0,0,4.47,1.27,9.9,0.66,4.28,0,0,0,1.49,0,57.42,0,0.49,0,0,1.44,0,0.97,0,0,3.47,0.53
 84-94,0,1.01,24.72,4.95,0,3.51,2.89,3.29,3.05,14.49,0.75,0,0,3,0.57,59,0,0.78,0,0,3.76,0,0,0,0,15.57,1.77
 96-106,0,0,36.76,0,0,14.06,3.6,7.1,1.54,8.63,1.78,0,0,3.38,0,30.32,0,0.59,0,0,2.52,0,0,0,0,20.37,2.08
108-118,0,0,44.4,5.05,6.29,0,5.87,11.42,4.28,15.73,1.69,2.34,0,3.47,0,43.47,0,1.97,2.3,0,3.73,0,0,0,0,18.11,0.6
120,0,0,65.19,8.6,0,0,3.84,0,10.85,9.02,1.77,0,0,3.36,0,61.68,2.47,1.06,0,0,3.86,0,0,0,0,15.51,31.27
