stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,12.63,320.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,354.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.98,8.78,0,0,0,0,0,0
  7-9,10.34,4.44,18.48,0,0,0,11.27,0,0,0,0,5.71,0,0,0,0,0,0,0,0,111.73,9.84,0,0,43.78,0,0,0,0,0,0,0
 10-12,0,4.15,19.11,0,4.89,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,144.29,0,0,0,39.64,0,0,3.11,0,0,0,0
 14-21,0,0,0,1.88,1.08,0,2.79,0,0,0,0,0,0,0,0,0,0.82,0,0,1.14,19.58,1.74,1.03,0.87,0.84,0,14.48,1.04,6.96,0,0,0
 24-34,0,0,1.44,1.01,0,0,3.73,0,0,3.74,0,0,0,0,0,0,6.15,0,0,1.31,43.57,0,0,0,0,0.98,0,0.79,4.75,0,0,0.6
 36-46,0,0,0,0.7,0,0,3.64,0,0,4.13,0,0,0,0,0,0,3.06,0,0,0,22.76,0,1.39,0.58,0,1.44,0,0,8.31,0,0,0
 48-58,0,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,0,2.16,0,0,0.61,42.16,0,0,0.54,0,4.53,0,0,5.2,0,0.99,0
 60-70,0,0,0,0,0,0,4.24,0,1.28,1.53,0,4,0,0,0,0,7.01,1.14,0,0,39.18,0,0,0,0,3.69,0,0,5.42,0,0,0.77
 72-82,0,0,0,0,0.57,0,16.96,0,3.73,2.62,0,0.55,0,0,0,0,5.56,0,0,0.95,29.82,0,0,0,0,3.34,0,0,0,0,4.08,0
 84-94,0,0,0,1.8,0,0,6.75,0,0,12.98,0,0,0,0,0,0,9.31,0,0,0,14.03,0,0.6,1.04,0,3.29,0,0,0.94,0,0,0
 96-106,0,0,0,1.15,0,0,1.71,0,3.98,0,0,0,0,1.15,0.61,0,7.06,0,0,1.39,46.13,0,0,0,0,2.29,0,0,2.55,0,5.78,0
108-118,0,0,0,2.08,0,1.13,25.39,0,0,4.04,0.85,0,0.49,0,0,0.58,3.63,0,2.81,0,38.13,0,0,0,0,0.51,0,0,1.35,1.46,0,0
120,0,0,0,4.94,0,0,2.3,2.28,0,15.17,0,0,0,0,0,0,26.58,0,0,1.9,82.46,0,2.76,8.99,0,1.04,0,0,0,0,0,0
