stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,55.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.67,97.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.01,0,0,0,14.31,0,0,0,0,5.73,0,0,0,0,0,0
 14-21,0,0,0,0,3.41,3.56,2.78,0,0,0,0,1.08,0,1.96,0,0,0,0,3.22,0,0,3.11,6.79,2.17,0,0,0,0,0,0.99,0.9,0,2.65,0,0,0,0,0
 24-34,0,0,0.62,0,3.07,0.79,2.23,0.72,0,0,1.25,0,1.02,37.67,0,0,0,0,3.67,0,0,3.81,24.24,8.06,1.95,0,0,0,4.65,0,1.32,0,2.97,0,0,2.85,0,2.86
 36-46,0,0,0,0,1.58,0,3.4,0,0,0,2.4,0,4.57,51.63,0,0,0.77,0,11.55,0,1.14,2.21,58.04,1.14,1.11,0,0,0,4.54,0,0,0,17.37,0,0,1.21,0,23.07
 48-58,0,0,0,0,2.74,0.4,13.64,0,0.39,0,6.31,0,0,70.63,0,0,0,0,5.38,0.5,0,1.43,49.13,0.96,0,0,0,0,7.39,0,0,0,20.86,0,0,0.45,0,12.2
 60-70,0,0,0,0,1.83,0,13.9,0,2.35,0,1.15,3.21,0,54.35,0,0,0,0,8,0,0,0,51.85,0,0,0,0,0.63,0,0,0.68,0,6.85,0,1.93,2.45,0,0
 72-82,0,0,1.66,0,2.87,0,12.12,0,0,0,8.01,0.88,0,75.64,0,0,0,0,13.4,0,9.53,2.98,30.37,0,0,0,0,0,0.54,0,0.53,0,0.81,0,1.34,0.52,0,0
 84-94,0,0,0,0,0.68,0,13.4,0,0,0,0.75,3.82,2.41,76.19,0,0,0,0,8.72,0,0,0,15.56,0,3.38,0,0,6.05,0.75,0,0,0,0,0,0,3.21,0,0.88
 96-106,0,0,0,0,10.9,3.59,21.4,0,0,0,5.7,4.41,0.61,80.19,0.81,0.71,0,1.99,17.38,0,0,0.71,26.49,0,1.31,0,0,1.92,0,0,0,0,1.98,0,0,0,0,2.56
108-118,0,0,0,0,10.44,0,32.24,0,2.45,0,3.27,3.15,0,96.03,0,0,0,0,8.94,0,0,3.88,16.81,0.69,0,3.81,0,0,0.85,0,0,0,0,0,0,2.66,3.36,0
120,0,0,0,0,22.7,1.38,7.07,0,0,10.43,11.43,5.04,0,325.13,0,0,0,0,11.58,0,0,0,39.77,0,0,0,0,0,0,0,4.05,0,6.83,5.48,7.39,1.44,0,0
