stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,17.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.9,0,0,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.79,23.56,0,0,3.75,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.6,31.51,0,0,8.94,0,0,0,3.54,0,0,0,0,0,0
 14-21,0,0,0,1.88,10.92,8.08,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,9.94,0,0,11.88,20.22,9.52,0,0,0.83,0,0,9.36,0,19.26,10.98,0,5.15,0,0
 24-34,0,0,0,1.86,4.01,0,0,1.31,0,2.29,1.54,2.9,0,0.62,0.67,0,0,0,0.95,1.79,23.8,0,0,12.59,14.37,3.01,0.71,1.33,0,0,0,0,2.49,1.22,12.3,0,29.49,0,0.76
 36-46,0,0,0,0,0,1.59,0,1.32,1.17,0,1.91,11.12,0,1.05,1.77,0,3.69,0,0,1.22,30.51,0,1.78,7.25,28.6,10.72,0.73,0,0,0,0,0,0.75,0,13.42,0,11.08,0,0
 48-58,0,0,0,0,0.37,0.69,0,4.93,0,11.9,2.28,25.5,2.58,1.78,0.57,0,2.21,0,1.04,1.75,34.18,0,0,12.68,30.63,1.04,0,0,0,0,3.46,0,4.16,0,16.18,0,17.2,0,0.85
 60-70,0,0,0,0,1.33,0.58,0,33.35,0,1.31,4.15,68.83,2.44,0,16.05,0,0,1.26,3.5,0,42.03,0,2.4,3.85,14.79,2.27,0,0,0,0,0,0,0,0,14.84,0,16.45,0,7.1
 72-82,0,0,0,0,8.05,54.53,0,81.77,0,7,2.18,89.62,1.37,2.24,2.54,0,0,0.79,8.38,3.71,88.57,1.59,2.39,1.84,24.32,1,0.74,1.48,0,1.78,0.51,0,1.58,0,5.64,2.72,30.22,0.52,3.93
 84-94,0,0,0,0,5.42,64.17,0,118.1,2.14,0,3.82,78.88,2.89,1.82,20.01,0,1.02,0,4.44,0,58.67,0,0,4.54,16.47,0,1.05,3.61,0,0.83,0,0,3.08,0,5.42,0.58,23.84,1.49,7.36
 96-106,0,0,1.1,0,8.72,80.05,0.8,142.24,0,1.21,3.65,119.7,6.1,1.46,8.39,0,0,2.3,4.13,0,56.7,0.77,1.87,0,42.08,0,1.27,1.42,0,0,0,0,4.03,0,13.3,4.2,27.77,0.68,4.15
108-118,0,0,0,0.49,8.11,37,0,213.9,0,0,3.53,155.81,1.92,0.68,16.28,0,7.72,2.38,19.68,1.21,64.18,0,0.65,4.89,17.28,0,4.93,3.43,0,8.41,1.52,0,4.47,0,8.17,2.33,26.47,1.9,1.47
120,0,0,6.85,0,11.57,28.5,1.89,152.12,0,0,14.41,243.13,7.18,0,11.73,2.21,7.34,0,18.24,0,108.29,0,6.62,1.9,63.99,0,0,3.25,0,0,9.07,0,7,0,0,3.79,18.71,0,0
