stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,67.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74,0,0,0,0,0,8.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.4,0,0,0,0,0,8.48,0,0,0,0,0,0,0,0,0,33.52,0,0,0,9.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,8.29,0,0,0,0,0,0,0,0,0,42.53,0,0,0,23.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.81,0,0.92,0,0,0,2.26,0,0,0,0,0,0,0,0,0,0,0,74.58,0,4.63,0.8,0,0,0,0,0,29.56,0,0,1.94,0,0
 24-34,0,0.8,0,0,19.14,0,0,0,1.43,0,0,0,0,0,0,0,0.64,0,0,4.91,425.99,0,12.8,5.11,0,0,0,0,1.1,122.88,0,0,0,0,0
 36-46,0,0,0.94,0,108.2,0,0,0,8.71,0,0,0,0,0,0,0,3.09,0,0,1.82,1055.78,3.72,16.56,0,0,0,3.51,0,0,215.73,0,0,0,0,0.9
 48-58,0,0,2.4,0,185.88,0.73,0,0,30.37,0.43,0,1.23,0.42,2.58,0.44,0,22.62,0,0,1.24,1534.33,0,15.96,0.97,0,0,0,0,0,303.2,0,0,0.43,0,0
 60-70,0,0,1.84,0,378.59,1.4,0,0,31.78,0,0,0,1,0,0,0,8.99,0,0,0.75,2055.92,0,12.84,0.57,0,0,0,11.89,0,296.24,1.44,0,0,0,0
 72-82,0,1.63,9.77,1.74,358.79,4.88,8.97,1.55,22.85,0,0,0,0,0,0,7.06,20.07,0,0,3.83,1508.09,0,15.44,4.02,0,0,4.12,0,0,194.95,0,0,0.64,3.26,4.94
 84-94,0,1.55,10.01,3.2,260.44,0,0,0,37.23,0,0,0,1.28,0.65,1.6,0,19.29,0,0,0,990.24,5.19,14.77,3.48,0,0,0,0,0,155.72,0,1.57,0,4,0
 96-106,0,0,2.91,2.61,244.44,0,0,0.93,20.15,0,0,0.58,1.69,2.53,2.55,8.44,15.24,3.12,1.32,2.43,856.96,0,18.85,6.32,0,0,5.43,0,0,40.94,0,0,1.79,0,0
108-118,0,0.95,5.42,0,238.68,0.45,0,0.62,55.96,0.8,0,0,0,7.45,1.54,0,18.02,0,1.21,0,1114.31,0,27.33,4.03,0,2.26,0.5,0,0,49.37,2.68,0,4.66,0,0
120,0,0,22.94,4.61,272.66,0,0,1.58,95.8,0,0,0,0,0,0,0,6.62,0,2.47,0,1958.68,0,12.52,2.94,0,0,1.46,0,0,88.52,0,10.18,0,0,0
