stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,298.75,3281.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.03,0,0,0,0,0,0,0,0,0,0,0
  5-6,148.95,2744.58,0,0,0,0,0,0,0,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,72.26,0,0,0,40.17,0,6.27,0,0,0,0,0,0,0,0,0,0,0
  7-9,74.32,47.54,0,87.06,0,0,0,190.56,0,0,0,0,0,57.15,0,0,0,0,0,0,0,0,0,0,1479.32,86.39,0,0,514.4,0,0,4.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,52.94,0,86.35,0,9.75,0,134.72,0,0,0,0,0,9.67,0,0,0,0,0,0,0,0,0,0,1418.65,128.44,0,0,538,0,7.72,0,0,74.94,0,4.93,3.28,0,0,0,0,0
 14-21,0,0,1.69,1.54,77.12,9.92,0,24.63,0,0,0,18.14,1.7,2.13,5.43,0,0,0,0,0,0,29.17,0,23.55,310.27,46.61,0.93,2.05,3.82,0,4.12,0,41.9,1.86,3.39,22.88,235.7,0,0,5.29,0,9.35
 24-34,0,0,0,1.36,17.86,0,0,41.68,0,0.89,2.53,17.95,0,1.15,2.13,0,0,0,1.23,0,0,76.03,2.59,17.27,511.29,14.77,2.14,8.62,0,0,3.39,0,0,3.82,0,1.29,189.94,0,0,12.63,0,2.67
 36-46,0,0,0,0,26.47,1.59,0,86.91,0,0.89,2.99,21.01,0,0,0,0,0,4.15,0,0,7.46,95.86,0,8.57,342,15.27,0.79,3.91,0,3.07,4.23,0,0,0,0,0,109.42,0,1.37,14.63,0,14.22
 48-58,0,0,0,0,8.98,0.73,0,102.24,1.81,0,2.16,41,0,0,1.13,0,0,0,0,0,5.07,93.5,3.16,14.31,277.71,7.74,0.37,7.35,0,0,3.58,0,0,0,0,0,73.39,0,0.84,9.19,0,0.46
 60-70,0.81,0,0.7,0,32.04,0,0,141.06,0,3.92,0,34.14,0,0,3.24,11.15,0,2.04,2.59,4.39,0,154.75,2.59,11.71,327.58,2.21,0.98,0,0,1.13,3.84,0,0,1.17,0,0,63.57,0,8.9,6.47,0,2.83
 72-82,0,0,0,0,8.32,4.08,0,164.07,0.5,6.45,10.99,56.65,0,0,0.89,5.21,0,3.82,0,0.5,0.95,181.1,6.35,5.74,299.11,2.83,3.96,3.02,0,0.89,0,0,0,0,0,0,48.26,1.92,5.41,17.72,4.26,6.34
 84-94,0,0,0,0,9.88,0,0,108.61,0,2.36,2.46,46.01,0.8,0,0,14.32,0,1.29,0.81,5.97,5.31,171.82,7.86,7.16,190.82,2.18,0,1.9,0,0,5.38,0,0,0.67,0,0,40.62,0,2.78,8.86,4.26,0
 96-106,0,0,3.33,0,9.38,0.67,0,78.84,0,6.07,0,50,0,0,1.64,5.62,0,1.23,0,3.8,0,103.38,1.9,8.07,194.42,2.25,0,3.79,0,1.28,9.98,0,0,3.2,0,0,47.88,0,8.05,9.78,3.72,7.97
108-118,0,0,0,0,12.89,0,4.49,116.12,0,4.02,9.51,39.63,0.91,0,0.51,5.25,2.57,3.51,1.34,3.36,3.85,141.15,12.32,6.37,209.27,2.13,0.77,2.79,0,0,8.23,0,0,0.94,0.53,0,12.47,0.43,0.82,1.59,2.48,5.91
120,0,0,0,0,6.61,4.11,2.66,95.18,0,2.47,0,55.62,0,0,0,11.65,0,3.92,0,5.41,3.24,93.73,18.74,10.68,304.76,1.25,4.09,1.43,0,0,2.53,0,0,1.97,0,0,13.03,0,2.35,4.36,0,9.75
