stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,44.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.51,0,0,0,0,0,0,0,0,0,0
  5-6,68.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.29,0,0,30.23,0,0,0,0,0,15.06,0,0,0,0,0,0,0,0,0,0,102.41,4.58,0,0,30.17,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.05,0,0,0,0,33.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.04,4.36,0,0,28.36,0,0,13.25,0,0,0,0,0,0,0,0
 14-21,0,0,0.9,3.25,3.47,6.27,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,3.85,27.05,0,3.38,1.51,0.89,0,4.96,0,0,2.9,23.68,0,0,1.23,0,0
 24-34,0,0,0,0,0.79,15.69,0,0,0,1.35,0.78,0,0.76,0,0,0,0,0,3.65,2.5,0,2.71,94.95,0,6.48,1.32,0,0,0,0,0,0,32.65,0,0,5.78,0,0
 36-46,0,0,0,0,0,7.52,0,0,0,2.73,1.12,0,0,0,0,0.61,0,0,2.81,5.47,0,1.14,190.28,0,21.5,0,0,0,0,0,0,0,35.33,0,0,0.7,0,1.04
 48-58,0,0,0,3.81,0,41.3,0,0,0,7.25,1.77,0,0.55,0,6.13,0,1.69,0,3.89,9.1,0,2.68,339.82,0,10.89,0,0,2.67,0,0,0,0,45.41,0,0,3.33,0,0
 60-70,0,0,0,7.03,0,125.38,0,0,0,18.23,0.62,0,0.66,0,0,0,0,9.23,10.88,16.75,0,1.15,596.61,0,5.79,0,0,0,0,0.58,0,0,55.27,0,5.94,5.91,0,4.93
 72-82,0,0.87,0,4.89,0,275.3,0,0,1.2,73.88,6.69,0,0,4.89,0,0.59,0,0,29.71,37.82,0,2.07,916.17,0,4.52,0,0,0.5,0,0,0,0,94.98,6.64,1.02,25.6,0,0
 84-94,0,1.62,0,7.43,7.66,222.49,0,1.81,0,61.22,37.27,1.22,0,0,0,0,1.98,0,23.66,44.14,1.4,0.66,617.32,0,5.37,0,0,15.63,0,0,0.63,0,51.24,9.05,2.01,28.4,0,0
 96-106,0,0.81,1.67,6.53,6.14,118.85,0,1,0,86.24,36.78,0,0,0,2.47,0,0.77,9.06,20.67,70.68,0,5.52,594.38,1.2,17.52,4.81,0,6.72,0,0,0,0,71.67,2.04,0,39.91,0.91,4.01
108-118,0,2.9,0.59,11.32,1.03,207.74,1.5,2.34,1.95,77.75,50.21,0,0,0,1.29,6.26,0.65,0,50.56,121.91,0,1.79,726.19,1.51,8.03,2.06,0,11.06,0,0,0,0,27.33,1.17,2.41,38.15,0,6.32
120,0,1.22,0,12.61,0,164.18,0,0,0,80.49,45.85,0,4.47,2.39,0,0,0,0,19.73,37.68,0,0,802.35,0,13.59,1.05,0,1.35,0,2.39,0,0,23.27,3.86,0,83.28,0,0
