stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,21.75,171.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,123.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57,0,0,0,0,0,0,0,0,0
  7-9,5.85,0,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.91,0,0,29.2,0,0,5.74,0,0,0,0,0,0
 10-12,0,0,0,0,0,7.94,0,0,0,0,0,0,0,0,0,0,0,0,70.91,7.41,0,6.44,0,0,0,8.04,0,0,0,0,0
 14-21,0,0,0,2.28,0.94,6.03,0,0,0.96,0,0,0,0,0,0.92,0,0,2.06,14.82,0.81,5.77,0,0,0.97,0,0,3.07,5.85,0,0,0
 24-34,0,0,0,0.6,0,0,0,0,0,0,0,1.72,0,0,3.23,0,0,2.26,23.66,0,20.74,0,0,0,0,0,0,2.96,0,0,0.63
 36-46,0,0,0,2.17,0,1.8,0,0,0,0,0,0,0,0,2.71,0,0,0.6,7.46,0,31.17,0,0,0,0,0,0,2.28,0,0,0
 48-58,0,0,0,3.34,0,5.08,0,2.47,0,0,0,0,0,2.02,2.06,0,0,0.4,18.16,0,47.99,0,0.47,0,0,0,0,2.88,0,0,0
 60-70,0,0,0,5.42,0,11.32,0,6.44,0,0,0,0,0,0,2.92,0,0,0,44.7,0,26.55,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,9.61,6.33,4.4,0,0,0,0,0,0,4.71,0,0,0.71,21.88,0,51.33,0,0,0,0,1.28,0,6.9,0,0,0
 84-94,0,0,0,0,0,2.44,0,5.06,0,0,0,0,0,0,6.47,0,0,0,7.14,0,63.72,0,0,2.54,0,0,0,10.87,0.85,0,0
 96-106,0,0,0,2.46,6.29,8,0,1.13,0.9,0.66,0,0,1.54,0,5.48,0.71,1.11,0,17.53,0,77.43,0,0,1.71,0,0,0,3.81,0,0,0.7
108-118,0,0,0.74,3.14,0,9.34,0,7.21,1.09,0,0.93,0,0,0,7.94,0,0,0,42.76,0,47.7,0,0,0,0,0,0,0,0.55,0.5,0
120,0,0,0,0,0,2.69,0,13.13,0,0,0,0,0,0,26.24,0,0,0,145.43,2.24,131.77,0,5.9,0,0,0,0,0,0,0,0
