stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,ionocyte,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,63.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.35,0,0,0,0,4.81,0,0,0,20.55,3.59,38.15,0,0,0,0,0,0,0
 10-12,0,0,0,7.63,0,0,0,0,0,0,0,0,24.07,0,0,4.05,0,0,0,0,0,0
 14-21,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,0,0,0.99,0.97,0
 24-34,0,0,0,1.75,0,0,0.8,0,0,0,0,1.8,8.98,0,0,0,0,0,0,0.68,2.24,0
 36-46,0,3.03,0,2.5,0,0,0,0,0,0,0,0,15.34,0,0,13.56,0,0,0,0,7.29,0
 48-58,0,1.55,0,2.89,0,0,0,0,0,0,2.44,0.4,13.54,0,0,0,0,0,3.32,0,2.28,0
 60-70,0,0,0,3.93,0,0,0.65,0,0,5.27,9.89,0.67,7.61,0,0,1.97,0,0,2.74,0,0,0
 72-82,0,0,0,3.85,0,0,0,0,0,0,1.76,0.59,8.7,0,0,1.99,0,1.76,0,0,0,1.58
 84-94,0,0.83,0.56,0.94,0,0,0.7,0,0,0,0,0,7,0,0,0,0,1.56,0,0,0,0
 96-106,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.47,0.9,0.42,0,0,0,1.62,0.72,0,0,0,0,0,0,0,1.33,0,0,0
120,0,0,4.29,9.55,0,0,0,2,0,0,2.4,0,23.44,0,0,1.04,0,0,0,0,0,0
