stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,spinal.cord,taste
  3-4,44.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629.5,0,0,0,0
  5-6,30.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.96,0,0,0,0
  7-9,0,0,0,0,3.45,0,0,0,0,3.77,0,0,0,0,0,120.38,11.2,0,0,8.92,546.5,14.64,0,0,0
 10-12,0,0,0,0,4.94,0,0,0,0,0,0,0,0,0,0,221.84,6.38,0,0,42.68,124.73,0,4.76,0,0
 14-21,0,0,4.21,0,0,0,0,0,0,0,12.65,0,0,0,0,18.39,0,0,0,0,171.4,0,0,0.86,0
 24-34,0,0,6.77,0,0,0,0,0,0,0,4.2,0,1.7,0,8.27,15.33,1.43,11.89,0,0,197.17,0,0,0.92,0
 36-46,0,0,1.55,0,0.6,0,3.07,0,0,0,0,0,0,0.6,0,8.81,0,4.23,0,0,171.91,0,0,1.4,0
 48-58,0,0,8.55,0,4.55,1.09,0,0.39,0,1.19,4.84,2.97,0,0,0,11.89,0,3.28,0,0,103.35,0,0,1.36,0
 60-70,0,0,7.73,0,3.35,1.83,0,0,0,0,1.79,2.02,0.69,0,0,6.45,0,0,2.15,0,101.2,0,0,1.69,3.21
 72-82,0,0.75,10.08,0,0,0,0,0,0,0,0,0.97,0,0,0,4.92,0,0.49,0,0,63.93,0,0,0,0
 84-94,0,0,5.16,0,1.13,0.66,0,0,0.67,0,1.35,5.05,2.89,0,0,4,0,3.25,0.82,0,164.97,0,0,0,0.61
 96-106,0,0,11.52,0,6.16,7.8,0,2.93,0,0,1.17,0,9.24,1.13,0,0,0,5.55,3.81,0,107.52,0,0,0,0
108-118,0,0,25.55,1.08,0.85,1.61,0,0,0,0,4.03,8.21,0.93,0.51,0,2.04,0,1.38,0,0,91.94,0,0,0,0.44
120,0,0,9.18,0,0,1.86,0,0,0,0,1.26,0,0,1.1,0,4.4,0,10.58,0,0,36.35,0,0,0,0
