stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,8.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.45,0,0,0,4.85,0,0,0,0,0,0,0,0,0,0
 10-12,10.05,0,0,0,0,27.53,0,0,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,263.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.29,0,0,45.41,0,0,0,2.93,0,0,0,0,0,0,0,0,0,1.43,0,0,0,734.6,0,0,1.43,0,0,0,1.49,0,0,3.21,0,0,0,0
 24-34,0,0,1.83,1.84,0,847.4,0,1.45,0,109.99,0,0,0,0,0,0,0,0,0,8.8,0,0,5.61,2507.88,1.11,0,0,0,0,7.67,0,0,0.63,208.32,0,2.13,0,0
 36-46,0,0,15.49,0,0,2784.01,0,2.46,2.8,985.67,0.59,0,1.45,5.18,0,0,0,0,1.74,11.18,1.37,1.26,4.88,7305.93,0,1.62,11.96,0,0,17.19,0,1.06,0,1152.06,1.04,0,0,13.82
 48-58,0,0,16.38,1.76,0,2618.57,0.76,10.41,0,1461.14,0,0,2.64,0.57,0,2.03,0.47,0,0,32.39,1.46,5.22,10.38,4698.69,0,3.6,0.39,0,0.56,2.96,0,0,0,1267.79,0,3.91,0,5.68
 60-70,0,0,8.13,0,0,1802.03,2.26,4.81,0,901.43,0,0,0,1.12,0,9.69,0,0,0,33.12,1.27,0,6.47,2148.68,0,8.3,0,0,0,20.36,0,0.67,0,428.08,0,0,0,26.53
 72-82,0,0.68,13.21,0.63,0,859.87,3.75,0,3.52,645,0,0,0,0,0.53,1.62,0,0,0,30.15,4.17,2.07,0.59,1187.76,5.49,2.84,1.51,0,0,1.53,0,6.43,0,111.59,1.26,2.43,0.84,0
 84-94,0,0,9.95,4.23,0,674.93,0,0,7.45,424.86,0,0,0,0.79,0,0,0,0,0,19.41,0,2.77,0.63,838.67,0.9,2.78,0,0,0,0,0,0,0,108.32,0,2.17,0,4.6
 96-106,0,0,22.17,1.12,0.66,524.3,0,2.37,0,434.44,3.19,0,2.2,3.07,0,0.75,0,1.03,0,23.23,0,0,2.46,673.22,0,2.98,2.1,0,0,3.25,0,0,0,41.04,6.43,0,2.56,10.93
108-118,0,0,10,0,0,777.54,1.82,0,0,580.25,0,0,0,0.77,0,1.17,0.53,0,0,21.71,0,8.95,2.77,1202.63,1.07,3.8,1.27,0,0,0,0,0,0,42.22,0,2.15,0.5,0
120,0,0,44.33,4.27,16.7,838.14,0,8.38,2.1,1094.22,0,0,0,0,15.24,0,0,0,0,39.61,0,10.53,5.43,1865.35,3.89,1.45,3.1,0,0,1.04,0,0,0,18.39,0,0,0,0
