stage,epidermis,eye,glial,mesenchyme,mural.cell,neural,presomitic.mesoderm,spinal.cord
 14-21,0.85,1.12,0,0,0,4.26,0.99,4.19
 24-34,0,0,0,0,0,11.19,0,2.4
 36-46,0,0,0,0,0,10.04,0,2.53
 48-58,0,0.67,0,0,0,12.84,0,2.95
 60-70,0,9.19,1.84,0.64,0,6.38,0,0
 72-82,0,0.67,0.94,0.82,0.57,6.19,0,0
 84-94,0,3.1,2.1,0.62,0,4.69,0,0
 96-106,0,6.11,0,2,0,7.76,0,0
108-118,0,0.45,1.69,0,0,0,0,0
120,5.45,1.51,0,0,0,0,0,0
