stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,76.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,50.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,18.71,0,0,3.67,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,4.06,0,0,5.91,0,0,0,0,0,0
 14-21,0,1.1,0,0,0,0,0,0.86,2.82,2.87,9.67,0,0,0,1.28,1.03,1.73,0.82,0,0
 24-34,0,0,0,0,0,0,0,0,0,4.37,9.75,0,0,0,0,2.77,0.67,0.85,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,0,0.7,0,0,0,0
 48-58,0,0,0,0.68,0,0,0,0,0,0,2.62,1.04,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.95,0,0,0,0,1.97,3.88,0,0,0,0,0,0,2.95,0.6,0
 72-82,0,0,0,0,0.94,0,0,0,1,0,12.63,0,0,0,0,0,0,0,0,0
 84-94,0,2.81,0,1.52,0,0,0,0,5.76,0,0,0,0.89,0,0,0,0,0,0,0.63
 96-106,0,0.93,2.54,12.24,2.03,0,0,0,0.98,1.41,4.34,2.09,0,0,0,0,0,0,0,0
108-118,0,0.69,0,1.09,0.69,0,1.33,0,2.57,0,8.61,0,2.63,0,0,0,0,0,0,0
120,0,0,0,8.32,0,1.38,0,0,0,0,19.31,0,0,0,0,0,0,0,0,0
