stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,5462.26,96375.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4238.4,0,0,0,0,0,0
  5-6,5550.91,65392.16,0,49.22,0,0,0,0,0,300.03,0,0,0,0,2130.42,115.12,0,0,370.39,1195.89,0,0,0,0,0,0
  7-9,472.45,450.81,0,560.24,0,0,916.5,0,0,408.08,0,0,0,0,11196.31,416.45,0,0,3916.85,12.94,482.94,0,0,0,0,0
 10-12,0,73.77,0,177.99,0,24.61,421.67,0,0,51.05,0,0,0,0,2934.13,172.53,0,0,1040.24,6.59,116.57,0,121.66,0,10.81,0
 14-21,0,0,0,0,31.63,4.96,11.53,2.89,4.4,4.29,0,2.09,9.64,3.14,170.7,7.58,0.84,2.6,7.06,8.78,28.87,41.9,5.19,3.43,17.08,16.4
 24-34,0,0,0.67,0,0.81,0,2.65,0,0,0,1.35,1.22,3.27,1.1,13.86,0,0.67,0,0,0.59,1.72,0,0,0,0.69,2.42
 36-46,0,0,0,0,0.84,0,1,0.73,0,0,0,0,3.36,1.66,3.49,0,0,1.31,0,0,0,0,0,0,0,2.36
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,2.41,0,0.84,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,7.51,1.79,0,0,0,0,0,0,10.8,0.83,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.47,7.37,1.94,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.28,0,0,0,0,0,0.61,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.57,9.82,0,0,0,0,1.75,0,0,0,0.71,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,2,0,0,0,0.42,0.97,0,0.56,0,0,0,0,0.5,0,0,0,0,0,0
120,0,0,0,0,0,0,7.07,0,0,0,0,0,0,1.03,0,0,0,0,0,1,0,0,0,0,0,0
