stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,102.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.71,54.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.73,4,0,0,0,0,0,0,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,35.87,0,0,0,3.73,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.4,0,0,0,9.93,0,0,15.42,0,0,0,0,0,0
 14-21,0,0,0,0,1.98,1.1,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,3.44,39.83,0,0,0,0.96,10.14,3.11,0,1.36,11.73,0,0,0,0
 24-34,0,0,0,1.99,1.42,0,12.22,0,0,0,2.89,1.01,0,0,0,0,0,0,0,15.86,0.69,0,3.73,152.21,0,2.24,0.63,0,8.19,0,0,0.62,19.76,0,0,1.63,0
 36-46,0,0,0,0,7.45,0,39.66,0,0,0,2.92,0,0,0,0,0,1.91,0,0,11.05,0,0,4.57,134.35,0,1.67,0,0,8.75,0,0,0,19.04,0,0,1.38,0
 48-58,0,0,0,0,10.69,0,67.72,1.08,6.54,0,16.38,0,0,0,4.15,0,0,0,0,15.93,0,0,1.46,171.1,0,0,0,0,2.55,0,0,0,12.25,0,0,3.34,0
 60-70,0,0,0,0,9.17,1.64,50.88,0,0,0,3.93,0.85,0,0,0,0,0,0,0,5.13,0,0,1.33,113.21,1,0,0,0,4.91,0,0,0,6.85,0,0,0,4.4
 72-82,0,0,0,0,0.57,0,37.62,0,0,0,3.39,1.66,0,0,0,0,0,1.21,0,7.84,0,0,0.69,45.49,0,1.29,1.43,0,0,0,0,0,0,0,0,0.83,0
 84-94,0,0,0,1,0.94,0,21.04,0,0,0,3.68,0,0,0,1.6,0,0,0,0.58,19.74,0,0,1.19,14.4,0,0,1.19,0,0,0,0,0,0,1.34,0,0.8,0
 96-106,0,0,1.68,0,0.81,0,0.88,0,0,0,1.53,0,0,0.86,0,0,0,0,0,6.25,0,0.62,0,8.05,0,0,0,0,0,0,0,0,0,0,0,3.24,0
108-118,0,0,0,0,3.69,0,18.77,0,0,0.59,5.7,0,0,0,0,1.38,0,0,0,9.59,0,0,0,28.63,0.58,0,0,0,0,0,0,0,0,0,0,10.11,0
120,0,0,0,0,0,0,1.37,0,0,1.04,35.74,0,0,0,0,3.26,0,0,0,13.97,0,0,0,142.74,0,0,0,0,2.85,0,0,0,0,2.25,2.12,6.63,0
