stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,iridophores,liver,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,14.29,96.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.04,46.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.96,0,0,0,0,0,0,0,0,0,0,0,0,0,29.85,5.4,13.51,5.78,0,0,0,0,0
 10-12,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,36.69,0,21.4,0,0,0,0,0,0
 14-21,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.84,0,0,5.12,0,0,0,0,0,0,0,0,0,5.4,0,0,2.81,0,5.2,0,0,0
 36-46,0,0,0,1.68,0,12.85,0,0,0,0,0.89,0,0,0,0,16,0,0,0,0,0.89,0,0,0
 48-58,0,0,0,0,0,52.91,0,0,0,0,0,0,0,0,0,11.78,0,0,0,0,0,0,0,0
 60-70,0,0,0.86,2.76,0,472.17,0,0,0,0,0,0,0,0,0.86,34.49,0,0,0,0,1.91,0,0,2.19
 72-82,0,0,0,0,3.38,609.74,0,0,3.34,0,0,0,0,0,9.82,22.98,0,0,0,0,14,0,4.24,0
 84-94,0,0,0,3.14,0,706.33,0,0,0,0.87,0,0.59,0,0,4.12,4.7,0,0,3.18,0,0.81,1.78,0,0
 96-106,0,0,0,5.35,11.18,599.04,0.86,0,2.18,0,0,0.63,0.66,0,1.47,14.42,0,0,2.93,0.6,0,0,0,0
108-118,0,0,0,3.65,7.98,655.48,0,0,0.62,0.45,0,0,0,1.42,3.98,19.03,0,0,0.46,0,0,0,0,0
120,0,0,0,5.22,5.63,758.6,0,2.21,0,0,0,0,0,0,0,26.38,0,0,2.1,0,0,0,3.45,0
