stage,erythrocytes,eye,glial,ionocyte,mesenchyme,mucous,neural,spinal_cord
  7-9,0,0,0,0,0,0,6.81,0
 10-12,0,0,0,0,0,0,10.61,0
 14-21,0,0,0,4.2,0,0,1.27,0.85
 24-34,0,0,0,8.28,0,0.88,0,0
 36-46,0,2.49,0,7.64,0,0,3.41,0
 48-58,0,27.55,0,0.37,0,0,1.6,0
 60-70,0,34.49,0,0.72,3.32,0,3.25,0
 72-82,5.31,9.12,0,0,0,0,1.04,0
 84-94,0,7.02,0,0,0,0,3.52,0
 96-106,0,3.98,0,0.69,0,0,0,0
108-118,0,5.03,0.62,1.7,0,0,0,0
120,0,24.58,3.05,0,0,0,0,0
