stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,15.95,0,0,0,0,0,4.36,0,0,0,0,0,0,0,0,0,0,342.06,0,0,0,15.23,0,0,0,0,0,0,0,0,0,0
 10-12,3.64,0,0,0,47.77,0,0,0,0,0,4.32,0,0,0,0,3.73,0,0,0,0,0,3012.9,0,0,0,69.68,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1905.18,4.39,27.65,0,110.54,0,0,2.29,2.04,0,0,0,2.33,0,0,75.2,2.2,0,1.63,529.34,0.88,343.29,416.71,7.22,0,165.51,18.62,8.45,20.48,0,0,0,0,0
 24-34,0,0.64,374.52,0,7.51,0,225.83,2.97,8.52,0.78,0,0.6,2.3,0,18.88,0,1.75,468.59,5.83,0,3.73,186.22,0,475.55,187.1,0,0,409.85,0,0.75,18.87,0,0,12.2,0,0
 36-46,0,0.84,107.05,0,5.83,0,43.24,5.46,0,1.3,0,0,0,0,27.76,5.07,1.52,519.63,2.36,0,5.62,112.16,0.88,187.52,117.16,0,0,430.01,0,0,2.83,0,0,0,0,0
 48-58,0,0,82.11,3.66,22.44,0.56,33.01,2.71,7.18,0.38,0,0,3.65,0,27.1,0,0,827.03,3.5,6.83,31.79,180.23,5.81,81.98,91.61,0,0.97,225.05,0.92,0,3.66,0,0.4,0,0,3.74
 60-70,0,0,38.53,0,16.75,23.27,12.92,7,1.84,0,0,0,10.85,0,18.72,0,0,902.58,3.59,0,26.51,61.02,0,31.55,21.64,0,0,152.9,0,0,4.07,0,0,0,0,6.55
 72-82,0,0,44.92,0,42.13,22.3,16.87,5.43,5.15,0,0,0,8.81,2.74,27.98,0,0,1059.8,0,5.54,35.3,71.28,0,34.29,39.76,4.01,0,106.06,0,0,7.11,3.17,0,0,0,0
 84-94,0,0,50.02,1.33,41.72,42.86,25.19,6.48,11.54,1.94,0,1,21.11,0.85,36.62,0,0,1013.93,0,2.75,16.18,10.52,0,37.35,28.1,0,0,343.66,0,0,3.63,12.42,0,3.62,0,0
 96-106,0,0,51.87,16.41,30.42,45.21,22.98,5.88,12.72,0.6,0,5.73,13.99,1.84,42.5,9.08,0,632.6,3.49,7.54,34.3,77.18,0,85.01,46.53,0,0.87,147.01,0,0,3.78,5.95,2.7,0,0.8,0
108-118,0,0,46.73,0,12.61,36.66,27.42,5.14,5.75,0,0,0,34.56,0,33.33,0,0,910.06,3.2,13.17,18.69,57.89,0,47.7,29.26,0,0,217.15,0,0,3.62,6.6,0,0,0,8.09
120,0,0,57.64,8.22,27.76,49.11,25.58,4.45,19.7,2.76,0,0,14.69,0,40.28,0,0,617.05,5.34,0,8.96,65.36,6.07,31.85,8.77,0,0,163.13,0,0,0,2.31,0,0,0,0
