stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,36.65,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.08,0,0,0,0,0,0,0,1.59,0,0,0,0,7.02,0,0,0,0,0,0,3.52,0,0,0,0
 24-34,0,0.66,0.8,3.32,0,0,0,0,0,8.41,0,0,0,0,7.65,34.81,0,0,0,3.34,0.68,0,0,0,0,0
 36-46,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,47.7,36.79,0,0.71,0,0,0,1.05,0,0,0,0
 48-58,0,0.59,0,42.32,0,0,2.75,0,0,0,0,0,0,0,54.97,39.29,0,1.1,0,0,0,2.22,0,0,0,0
 60-70,0,0.69,0,190.82,0,0,0.78,0,0,0,0.82,0,0.75,0.76,127.66,49.93,0,0,0,0,0,3.46,0,0,1.15,0
 72-82,0,1.81,0,234.26,4.98,0,2.9,0,0,0,3.31,0,0,0,138.1,82.12,0.56,3.72,0,0,0,19.57,0,0,4.43,0
 84-94,0,1.83,1.79,153.74,0,0,4.39,0,0,0,3.26,0,0,0,128.71,48.91,0,0.91,0,0,0,20.42,1.17,0,3.48,0
 96-106,0,1.67,8.38,640.02,0,0,7.16,0,1.93,0,6.23,7.39,0,0,176.97,68.54,0,4.92,0,1.19,0,2.14,0,2.62,0,0
108-118,0,2.14,0,629.05,0,3.65,17.2,0,0.74,1.4,7.14,0,0,0.74,264.13,62.12,0,0.6,0,0,0,3.87,0,0.58,0.72,3.74
120,0,16.65,0,1686.87,0,0,28.2,1.77,0,1.64,28.26,1.49,2.13,0,819.35,92.83,0,7.71,4.44,0,0,8.06,0,0,0,0
