stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,11.97,1.03,77.8,26.19,0,5.02,0,0,0,0,1,0,0.93,0,0,0,2.12,0,0,187.2,0,0,123.64,1642.57,4.94,309.13,61.27,0.89,0,0,2.16,0,0,7.5,694.2,0,0,0,0,0
 24-34,0,7.69,0.68,48.72,16.86,0,115.22,1.43,2.73,14.58,16.4,0,0,16.71,0,6.8,0,23.49,5.68,0,1053.64,1.03,2.43,444.16,13436,11.1,965.83,295.11,0,0,9.48,0,0.65,0,17.8,1505.59,0,0,36.25,0,5.29
 36-46,0,1.72,1.17,40.17,15.15,0,1491.81,3.13,3.44,20.47,62.63,0,0,33.51,1.26,0,0,14.22,0,13.78,2004.36,0,0,890.98,41091.53,17.02,828.44,247.82,0,18.12,35.12,11.47,2,0.58,0,3916.42,0,6.77,37.37,0,7.58
 48-58,1.9,0,0,232.8,12.36,0,6051.61,17.67,32.44,23.78,598.36,0.43,0,26.96,23.67,4.58,24.75,20.96,13.67,5.97,2811.94,2.4,22.65,837.12,52069.03,8.62,470.39,136.81,0,1.63,51.38,0,1.99,2.01,0,5241.44,0,5.95,57.53,0,91.49
 60-70,0,19.46,0,118.29,16.22,0,7101.86,23.69,50.68,22.75,405.87,2.92,5.49,17.93,7.93,1.69,61.9,58.88,26.52,16.88,3485.14,0,16.22,589.5,55184.3,6.5,328.14,185.23,0,9.49,46.75,0,0.59,4.04,0,3974.76,0,33.52,74.1,13.7,51.81
 72-82,0,3.64,0,192.18,22.12,0,5271.02,12.03,6.86,47.16,245.17,19.66,0,33.84,7.48,0,10.26,39.48,9.29,6.48,3254.52,3.98,29.7,628.12,31906.96,1.21,351.99,227.3,0,15.6,22.77,0,3.24,4.48,0,1747.23,6.09,39.77,71.03,10.41,73.8
 84-94,0,3.1,0,268.52,19.69,0,4590.61,24.22,43.4,34.51,394.24,10.97,0,46.4,25,12.38,11.13,91.26,1.48,0,2783.28,6.99,26.4,441.6,20804.94,9.14,342.76,260.09,0,9.9,50.2,0,5.6,3.04,0,1388.08,19.44,29.99,77.98,14.46,8.58
 96-106,1.12,0,0,257.92,59.25,3.17,2742.09,10.37,12.89,21.33,287.86,22.91,0,32.67,24.59,4.18,9.85,94.05,55.18,2.33,2341.51,11.73,14.25,310.38,13951.47,1.55,448.48,159.63,0,26.93,79.71,0,3.02,1.59,0,539.59,20.49,23.62,88.52,4.58,40.95
108-118,0,1.96,0.98,207.01,17.28,12.67,2682.03,11.1,17.55,31.75,212.7,10.46,0,12.6,15.5,0.49,2.94,92.34,8,4.07,2564.5,6.34,36.27,324.03,20115.69,7.35,327.6,189.81,0,18.35,19.58,0,5.17,0,0,267.37,23.21,30.87,136.09,7.78,5.08
120,4.46,0,0,175.46,64.39,0,5481.54,33.62,4.67,41.51,466.36,21.73,0,21.45,82.65,13.97,2.11,114.41,28.01,0,2846.72,1.59,19.49,373.56,27373.69,13.71,473.11,181.04,0,40.82,26.23,0,5.96,0,0,284.72,0,42.4,141.33,0,12.97
