stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,14.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.16,30.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.12,0,11.98,0,0,0,0,0,36.6,3.6,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.6,0,0,0,0,0,40.08,3.57,0,0,13.91,0,0,0,0,0
 14-21,0,0,0,1.13,0,0,0,0,0,2.39,11.14,0,0,0,0,0,0,1.65,1.11,0
 24-34,0,0,0,1.07,0.9,0,0,0,0,1.88,20.6,0,0,0,0,2.02,0,0,1.35,0.72
 36-46,0,0,0,0,4.95,0,0,1.65,1.56,1.07,45.5,0,1.02,0,0,0,0,0,7.72,0
 48-58,0,0,0,0,8.1,0,0,1.8,1.37,0,15.71,0,0,0,0,0,0,0,5.74,0
 60-70,0,0,0,0,5.28,0,0,1.67,0,0,7.07,0,0,0,0,0,0,0,1.74,0
 72-82,0,0,0,0.67,5.82,0,0.59,2.48,1.63,0,2.24,0.53,0,2.92,0,0,0,0,2.61,0
 84-94,0,0,0,0,5.01,0,0,7.14,1.03,0,6.04,0,0,0,0,0,0,0,0.96,0
 96-106,0,0,0,0,0,0,0.57,3.06,0,0,2.43,0,0,1.89,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,1.26,1.79,0,8.26,0,0,0,0,0,0,0,0,0
120,0,0,0,1.08,1.01,1.05,0,0,8.31,1.11,16.61,0,0,0,0,0,1.79,0,0,0
