stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,lateral.line,mesenchyme,mucous,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  5-6,10.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,6.77,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,11.12,0,10.02,0,0,0,0
 14-21,0,0,0.84,0,0,0,0.82,0,0,0,3.05,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.38,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.46,0,0.78,0,0,0,1.66,0,0
 60-70,0,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.69,0,0,0.85,0,3.8,0,0,0,0,0,0
 84-94,0,0,0,0,1.3,0,0,0,0,0,1.02,0,0,0,0,2.74,0
108-118,0,0.49,0,0.46,0.68,0.9,0,0.6,0,4.51,3.41,0,0,0.79,0,0,1.16
120,0,0,0,0,0,0,0,0,0,0,3.07,0,0,0,0,0,0
