stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,59.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.22,40.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.69,0,7.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.97,0,0,0,29.67,0,4.19,0,0,4.51,0,0,0,0,0,0
 14-21,0,0,4.29,0,10.42,0,0.89,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,64.09,0,3.53,0,0,1.04,0,0,0.8,7.21,57.62,0,0,0,0,0
 24-34,0,0,4.15,0,1.32,0,0.64,0,0.75,0,0.67,0,0,0,0,0,0,0,0,0,0.76,0,0.87,531.03,0,20.26,0,0,2.7,0,0,0.88,1.44,194.75,0,0,1.7,0,0
 36-46,0,0,6.21,0,1.07,0,4.35,1.74,4.1,0.8,4.42,0,0,0,0,0,0,0,0,0.7,11.75,0,3.43,1068.11,0.73,9.68,0,0,1.62,0,0,0,0,249.21,0,0,0.61,0,0
 48-58,0,0,3.4,0,1.08,0.69,67.06,0,0,2.72,21.66,0,0,0.55,0,0,0,0,1.98,0.5,20.42,0.48,5.11,1424.29,0,8.66,0,0,0,0,0,0,0,208.6,0,0,4.15,0,8.21
 60-70,0,0,0,0,7.41,0,208.99,7.4,0,0,10.14,0.62,0,0,0,1.08,1.14,1.58,0,0,8.37,10.43,5.23,1730.28,0,10.07,0,0,4.34,0,0,0,0,286.59,0,0,0,0,8.23
 72-82,0,0,10.37,0,8.07,5.81,409.89,5.97,0.57,0,32.23,6.82,0,0,1.67,0,0,0,0,0,31.27,0,0.63,2032.41,0,16.45,0.52,0,0,0,2.57,0,0,174.86,1.34,0.85,2.36,0,0
 84-94,0,0,11,0,14.26,4.93,397.35,0.76,4.74,0,23.45,5.85,0,1.01,0.65,0,0,0,0,0,32.45,10.57,1.64,1356.28,0.67,16.33,0,0,1.85,0,0,0,0,132.11,1.17,2.55,0,0,0
 96-106,0,0,7.89,0,15.91,6.11,411.01,0,0,0,30.26,7.42,0,0,0,0.68,0,0,8.71,0,12.55,1.41,0,1166.61,0,2.46,1.63,0,4.98,0,0,0,0,63.97,0,0,0,5.1,1.43
108-118,0,0,16.45,0,12.52,1.96,330.9,0,0,0,33.24,2.28,0,0,2.13,0,0,0.41,0,0,12.42,0,0,1335.18,0,6.43,0.72,0,1.69,0,0,0,0,42.58,0.68,0,0.61,0,0
120,0,0,14.6,0,2.07,0,278.16,0,0,0,70.93,0,0,0,0,0,0,0,0,0,27.65,0,3.67,1959.34,0,6.19,4.3,0,1.59,0,0,0,0,73.6,0,0,7.92,9.78,0
