stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.88,0,0,0,0,0,0,0
 14-21,0,0,1.93,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,7.08,0,0,0,0,0,3.64,0,0,0,0
 24-34,0,0,0.61,0,4.92,0,1.11,0,0,1.37,0,0,0,1.75,0,0,0,24.08,0,0,0,0,1.55,10.55,0,0,0,0
 36-46,0,0,0,0,4.65,0,0,2.64,0,0,0,0,0,0,0,0,0,36.64,0,0,0,0,0,7.25,0,0,0,0
 48-58,0,0,0,0,35.23,0,0,0.83,0,0.93,0,0,0,0.54,4.44,0,0,80.2,0,0,0,0,1.46,6.4,0,0,1.61,0
 60-70,0,0,0.73,0,21.32,0,0,12.13,0,0,0,1.34,0,1.24,7.74,0,0,81.37,0,0,0,0,0,7.71,0,0,0,0
 72-82,0,0,0,0,27.32,0,0,9.67,0,1.95,0,3.97,0,0.64,3.94,0,0,106.32,0,4.53,0,1.95,0,14,0,1.19,0,0
 84-94,0,0,1.97,0,35.76,0,0,12.71,0,0,0.75,0.62,0,2.16,3.33,0,0,52.75,0,0.63,0,0,0,4.4,0,0,4.38,0
 96-106,0,1.57,0,0,16.32,1.98,0,10.56,0.86,0,0,6.53,1.54,0,8.58,0,0,61.3,1.73,0,0,0,0,4.78,0.61,0,0,7.82
108-118,0,0,0,0,15.74,2,0,9.26,0,0,0,4.48,0,1.42,4.03,4.58,0,62.54,0,0,0,0,0,0,0,0,2.33,0
120,0,0,0,1.64,21.3,0,0,48.78,0,0,0,0,0,0,8.1,0,4.34,269.19,0,0,0,0,1.32,0,2.06,0,0,0
