stage,epidermis,eye,fast_muscle,fin_epithelia,gut,immune,mesenchyme,mural_cell,muscle,neural,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,25.36,0,0,0,0,0,1.33,0,3.06,9.71,0,0,0,0,1.22,0
 24-34,8.41,0,0,0,0,0,3.73,0,0,12.81,1.25,0,0,0,0.96,0
 36-46,1.01,0,0,4.92,0,0,1.09,0,0.98,308.62,0,0,0,0,0,0
 48-58,0,1.16,1.98,0.49,0,0,0.6,0,1.06,14.05,2.23,0.71,0,0,0,0
 60-70,0.64,0,0,2.33,0,0,1.16,0.62,0,9.44,0,0.92,0,0,0,0
 72-82,0.49,0,0,0,14.61,0,0.88,0,0,9.15,0,0,0,0,3.17,1.11
 84-94,0,0,0,0.73,3.69,1.42,0,3.16,0,6.33,0,0,0,0,0,0
 96-106,0.6,0,0,0,1.11,1.33,0,0,0,0,0,0,0,2.83,0,0
108-118,0,0,0,0,0,0.59,1.29,4.4,0,4.04,0.93,0,0.44,0,0.52,0
120,0,8.47,0,0,0,0,0,0,0,37.51,0,0,0,0,0,7.28
