stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.85,422.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.98,0,0,0,0,0,0,0,0,0,0
  5-6,79.89,816.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.44,8.7,0,0,9.28,0,46.97,0,0,0,0,0,0,0,0,0,0
  7-9,4.21,18.49,0,30.01,0,0,0,35.31,0,0,0,0,0,15.16,0,0,0,0,0,0,0,0,0,0,0,457.29,30.11,0,0,145.49,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.59,0,22.14,0,0,0,20.95,0,0,0,0,0,29.73,0,0,0,0,0,0,0,0,0,0,0,382.05,18.27,0,0,140.32,0,5.41,0,19.71,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2.13,0,0,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,2.91,15.89,0,0,0,0,0,0,0,0,0,4.48,2.91,0,0,0,0,0
 24-34,0,0,0.61,0,6.02,1.61,0,12.01,0.94,6.1,0,0,0,0,2.01,1.98,1.29,0.64,2.06,1.1,0,7.41,0,0,6.76,126.35,0.99,0,2,0,0,23.01,0,5.44,3.44,4.38,25.11,0,0,1.62,0,2.22
 36-46,0,0,0,0,6.32,0,0,21.35,30.32,1.15,0,0,0,0,0,0,5.2,0,0,0,0,13.82,0,0,9.89,204.41,0,0,0,0,0,56.49,0,4.42,26.69,0,23.12,0,0,9.13,0,0
 48-58,0,0,0,1.75,19.21,0,0,62.63,20.74,14.4,14.94,25.07,4.39,0,0,0,27.85,3.67,1.59,0,0,28.88,1.91,0,5.53,241.47,1.42,1.25,0,0,0.73,34.61,0,13.69,34.47,0,5.32,0,0,0,0,0
 60-70,0,0,0,0,8.95,1.26,0,140.8,42.26,4.43,4.25,9.94,11.97,0,0,9.84,5.18,17.54,0,6.84,6.77,33.8,0.73,0,13.54,197.54,10.88,0,0,0,0.71,39.73,0,11.73,31.77,0,7.79,1.44,0,2.96,0,0
 72-82,0,0,0,0,12.75,5.73,0,35.08,4.66,0.5,0,4.03,1.69,0,0,0,0,0,1.06,0,0,30.03,0.95,0,1.48,59.83,0,0,0,0,3.03,16.67,1.65,1.96,6.63,0,1.04,0,0,6.73,0.65,2.08
 84-94,0,0,0,0,1.55,3.31,0,15.96,0.56,0.86,0,10.43,3.32,0,0,1.25,4.58,1.18,1.61,2.36,10.08,9.64,0,0,0.95,10.85,0,0,0,0,0,9.27,0,1.62,2.31,0,0.75,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0.75,0,0,0,0,0,0,20.66,0,0,1.08,0,0,2.1,0,0,0.6,0,0,0,1.26,2.39,1.15,0
108-118,0,0,0.92,0,6.59,0.72,2.82,6.1,0,0,2.42,2.89,3.3,0,2.18,1.01,6.41,0,0.87,6.06,0,1.31,0,0,1.16,9.21,4.82,2.71,0,0,0,11.35,0,0,3.76,0,0,0,0,1.1,0,0
120,0,0,3.29,0,7.89,1.49,0,43.24,1.99,1.8,0,20.9,7.51,0,0,6.58,1.06,0,0,6.83,0,21.08,0,7.16,3.74,73.21,0,10.83,4.71,0,0,8.5,0,1.58,0,0,16.14,0,0,3.32,0,0
