stage,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.12,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,11.04,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.64,0,0,0,0,0,6.06,0,0,1.15,2.02,4.07,0,0,0,0,0,0,1.07,0,0
 24-34,0,0,0,0,0,0,0,0,15.42,0.79,0,38.3,5.38,0,0,0,0,0,1.89,0,6.78,0,0
 36-46,0,0,0,0.88,0,0,0,0,29.1,16.25,0,26.17,2.13,0,0,0,0,0,1.82,0,13.38,0,0
 48-58,0,0,0,2.37,0,0.78,1.98,3.59,59.53,13.84,0,14.35,1.9,0,0,0,0,0,0.87,0,2.33,0,0
 60-70,0,0,0,0.59,0,0.79,0,23.59,39.57,28.22,0,0,2.36,0,0,0.66,0,0,0,0,0,0,0
 72-82,0,0,0,1.32,0,0.78,0,8.89,38.93,28.26,0,2.74,8.51,0,1.27,0.71,0,0,0,0.52,13.77,0,0
 84-94,0,0,0,6.31,0.77,0,0,0,53.72,95.03,6.01,2.03,6.73,0,0,46.4,0.83,1.93,0,0,18.13,1.25,0
 96-106,0,0,4.39,4.5,0,4.28,0,2.85,57.05,123,19.98,17.92,39.07,0,0,45.12,0,0,0,0,138.71,0,0
108-118,1.21,0.42,2.09,3.87,0,0,0.9,12.47,48.01,97.62,0,3.48,20.1,0,0,5.4,0,0.42,0,0.88,175.13,0,0
120,0,3.93,0,2.65,0,0,18.65,8.17,83.8,43.13,0,0,17.68,0,0,6.17,0,0,0,0,354.11,0,7.26
