stage,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,ionocyte,mesenchyme,mucous,muscle,neural,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  7-9,0,0,0,4.62,0,0,0,0,0,0,0,20.84,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.39,0,0,0,0,0,0,0,9.87,0,0,0,0,0,0,0,0
 14-21,0,0.87,0,0,0,0,0,0,0,0,1.06,0.92,0,0,3.23,0,0,0,0,0
 24-34,0,0,0,0.73,0,0,0,0,0.6,0,1,11.53,0,3.49,0,0,2.32,1.25,0,0
 36-46,0,0,0,1.94,0,0,0,0,0.9,0,0,6.09,0,0,0,4.09,0,3.15,0,0
 48-58,0,0,0,1.48,0,0,0,0,1.92,0.49,0.38,2.42,0,0,0,0,0,0,0,0
 60-70,0,0,0,10.51,0.9,0,62.56,0,4.15,0,0,16.37,0,0,0,0,0,3.26,0,0
 72-82,0,0,0,1.2,0,0,230.32,0,0.65,0,0,9.1,0,4.07,0,0,0,0,0.96,0
 84-94,0,0,0,0,1.37,0,126.37,0,0,0,0,12.04,0,0,0,0,0,0,0,0
 96-106,4.79,0,0,31.82,4.97,0,474.44,1.46,1.44,0,0,12.48,1.12,6.69,0,0,0,0,0,0
108-118,2.21,0,1.47,7.99,0.94,0.52,435.26,6.59,6.76,0,0,10.82,0,0,0,0.62,0,0,0,1.41
120,6.33,0,0,13.7,0,0,438.6,0,0,0,3.77,0,0,0,0,0,0,0,0,0
