stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  5-6,7.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,3.81,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4.01,1.55,0,0,0,2.21,0,0
 24-34,0,0.67,1.98,0,0,1.94,0,0,0,0,0,0,102.57,4.77,0,0,0,7.8,0,0
 36-46,0,0,84.77,0,0,0,0,0,0,0,0,0,460.96,7.5,0,0,0,104.26,0,0
 48-58,0,0.88,182.78,0,0,3.67,3.95,0,0,2.25,0,2.31,558.82,10.43,0,0,0,294.82,0,0
 60-70,0,0,266.82,0,0,9.18,0,0,0,5.39,0,0.67,611,2.75,2.64,0,0,285.75,0,0
 72-82,0,1.71,360.45,0,0,4.36,0,0,0,3.44,0,0,697.24,2.48,0.54,0,0,317.94,0,0.79
 84-94,0,0,208.52,0,0,8.61,0,0,0,5.53,0,2.58,395,5.93,0,0,4.76,196.99,0.98,0
 96-106,0,3.11,274.79,0.57,1.02,7.55,0,1.3,0.66,6.4,0,0,447.14,7.25,0,0,0,115.43,0,0
108-118,0,8.03,169.47,1.65,0,4.08,0,0,0,0.61,2.74,0,360.97,2.89,0,0,0,54.97,0,0
120,0,3.3,48.55,5.46,1.56,0,0,0,0,3.38,0,1.43,406.38,1.09,0,0,0,22.32,0,0
