stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,8.67,16.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.45,0,0,0,0,6.5,0,0,0,0,0,0,0,0,14.24,23.99,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.05,0,0,19.32,0,0,0,0,0,0,0,0,7.13,0,0,0,3.27,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,0,0,0,0,1.08,0,0,1.22,0,0,2.01,0,0,0,0,0,0,1.66,0.86,1.66,2.76,0,0
 24-34,0,0,0,0,0,0,0,0,1.07,0,1.48,0,0,0,0,0,0,0,0,0,2,0,0.98,0.74,5.71,1.48,0
 36-46,0,0,0,0,0,4.65,0,0,0,0,6.8,0.57,0,0,10.99,0,0,0,0,0,0,0,0,0,2.96,0,0
 48-58,0,0,0,2.44,0,6.01,2.64,0,0,0,0,1,0,4.46,4.38,0,0.86,0,0,0,3.24,0,0,0,4.12,0,0
 60-70,0,0,0,0,1.09,27.69,17.2,0,0.59,0.77,0,3.99,0,5.76,4.12,0,0,0,0,0,4.12,0,0,0,1.72,0,0
 72-82,0,0,0,0,0,16.3,32.27,1.28,0,0,0,3.81,0,8.79,12.68,0,0,0,0,1.4,0.55,0,0.51,0,0,0,1.78
 84-94,0,0,0,0,0,25.72,58.81,0,1.2,0,0,1.79,1.73,2.19,7.19,0,0,1.53,0,0,9.2,0,0,0,1.28,0,0
 96-106,0,0,0,0,0,9.63,46.03,0,0,0,0,12.03,0,9.71,0.6,0,0,0.65,0,0,2.65,0,0.58,0,0.83,0,0
108-118,0,0,0.61,3.01,2.58,9.67,85.87,0,0,1.02,0,3.73,0,19.4,0.71,0,0,1.4,0,0,2.07,0,0.46,0,0,0,0
120,0,0,0,1.39,0,45.93,48.28,0,0,1.77,0,4.56,0,9.87,4.26,0,0,0,0,0,0,0,0,0,0,0,0
