stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,0,48.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.72,31.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.46,0,0,4.91,0,0,0,4.97,0,0,0,0,0,56.55,0,0,13.09,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67,0,0,8.05,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,2.68,0,0,0,0,0.92,0,1.02,0,0,0
 24-34,0,0,11.57,0,0,0,0,0,0,0,0,0,0,0,11.61,0,0,0,0.64,0,0,0,0,0,0
 36-46,0,0,5.25,0,1.19,0,0,0,0,0,0,0,0,0.84,5.14,0.73,0,0,0,0,0,0,2.02,0,0
 48-58,0,0,19.01,0,0.97,6.72,0,0,0,0,0,0,0,0,4.78,0,0,0,0,0,0,0,0.77,0,0
 60-70,0,0,24.88,0,1.99,0.63,0,0,0,0,0.66,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,26.44,1.55,1.73,4.2,0,0.51,0,0,0.66,0,0,0,8.84,0.56,0,0,0,0,0,0,0,0.92,0
 84-94,0,0,88.87,0,10.76,2.43,0,0,0,0,0,1,0,0,12.26,0.6,0,0,0,0,0,0,0,1.63,0
 96-106,0,0,77.07,0,4.58,5.37,4.65,3.15,0,0,12.9,4.43,1.38,0,9.27,0.69,0,0,2.15,0,0,0,0,0.78,0
108-118,0,0,136.78,0,1.37,10.69,0,3.8,0,0.88,2.09,2.01,0,0,8.84,1.05,2.59,0,2.4,0,0,0,0,0.96,1.3
120,0,0,175.61,0,0,8.6,0,1.62,0,0,0,1.05,0,0,18.16,0,0,0,4.78,0,2.12,0,0,0,0
