stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
 14-21,0,0,0,0,0,1.19,0,0,0,0,0,0,2.17,0,0,1.03,7.38,0.82,0,0,0,0.98,0,2.04,0,0,0,0
 24-34,0,1.67,0,0,0.7,0,0,0.64,0,0,0,0,2.73,0,0,0.67,7.71,0,0,0.71,2.49,0,0,0,3.39,0,0,0
 36-46,0.79,1.56,0,0,2.18,0,0,0,0,0,0,0,3.15,0,0,1.84,19.03,0,0,0,5.75,0,0.58,0,8.55,0,0,0
 48-58,0.37,8.32,1.09,0.41,0,0,0,0,0,0,0,0,2.11,0,0,0,31.25,0,0.68,0,0.38,0,0,0,7.24,0,0,0
 60-70,0,22.61,0,1.18,2.77,0,0,0,0,0,0,0,5.68,4.53,0,0,58.44,0,3.4,0,0,0,0,0,16.69,0,0,0
 72-82,0,10.83,0,0,4.24,0,0,0,0,0,0,0,1.22,0,0,0,55.34,0,0.86,0,0,0,0,0,4.33,0,1.6,0
 84-94,0,10.93,0,0,3,0,0,1.56,0,0.65,0,0,3.98,0,0,0,21.47,0,0,3.43,2.17,0,0,0,6.7,0,0,0
 96-106,0,36.97,1.92,0,2.79,0,0,0.58,0,3.68,2.44,0,4.98,0,6.67,0,14.72,0,0,0,1.54,0,0,0,1.69,2.19,2.85,0
108-118,0,8.62,0,0,1.51,0,0,2.52,1.43,0,0,1.61,0.59,0,0,0,9.63,0,0,2.88,2.09,0,0,0,0,0,0.67,0.46
120,0,0,0,3.26,0,0,1.43,0,0,0,0,0,0,0,0,0,4.36,0,0,2.59,0,0,0,0,0,0,0,0
