stage,blastomeres,eye,fin_epithelia,glial,immune,lateral_line,muscle,neural
  3-4,11.45,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,6.9
 24-34,0,0,0,0.78,0,1.08,0,0
 60-70,0,0,9.41,0,0,0,0,1.74
 96-106,0,10.01,0,0,1.05,0,0,0
108-118,0,0,0,0,0,0,0.66,3.63
120,0,0,0,0,0,3.58,0,0
