stage,endoderm,erythrocytes,eye,gut,mesenchyme,muscle,neural,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,31.16,0,0,0
 10-12,7.47,0,0,0,0,0,0,22.32,0,5.96,0
 14-21,0.94,2.32,0,0.81,0,7.09,0,0,6.25,24.94,0
 24-34,0,0,0,0,0.96,3.26,5.08,0,0,1.22,0
 48-58,0,0,0.4,0,0.42,0.94,5.46,0,0,0,1.72
 60-70,0,0,0,0,1.87,0,0,0,0,0,2.91
 72-82,0,0,0,0,2.39,2.51,2.11,0,0,0,0
 84-94,0,0,0,0,1.74,0,0,0,0,0,0
 96-106,0,0,0,0,0.68,0,1.12,0,0,0,0
108-118,0,0,0.87,0,0,0,1.7,0,0,0,0
120,0,0,0,0,2.37,0,0,0,0,0,0
