stage,blastomeres,epidermis,eye,gut,hatching_gland,immune,liver,mesenchyme,mucous,neural,periderm,pronephros
  5-6,30.25,0,0,0,0,0,0,0,0,7.54,0,0
  7-9,0,0,0,0,0,0,0,0,0,8.92,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.27,0
 36-46,0,0,1.81,0,0,0,0,0,0,0.99,7.13,0
 48-58,0,0,0,0,0,0,0,0,0,1.61,7.16,0
 60-70,0,0,0,0,1.21,0,0,0,0,5.23,2.51,6.41
 72-82,0,0,6.63,0,0,0,0,0.54,0,0,1.24,0
 84-94,0,0,0,1.74,0,0,0,0,0,0,3.67,0
 96-106,0,0,0.65,0,0,0,1.38,0.68,0,0.58,6.45,0
108-118,0,0.47,0,3.27,0,0.99,0,0,1.74,1.86,5.11,0
120,0,0,0,5.79,0,1.79,0,0,0,0,7.81,0
