stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,68.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.94,189.08,16.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.2,0,0,0,5.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.48,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.06,0,0,0,7.35,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.66,3.73,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,16.04,0,0,23.6,40.75,5.51,0,3.89,0,0,0,0.92,0,1.38,5.08,15.8,0,0,3.16,0,0
 24-34,0,0,0.62,4.5,2.75,0,48.92,0,0.85,4.54,5.93,0,0,0,4.62,0,0,0,0,145.78,0.74,0.91,75.1,329.66,6.73,0,25.99,0,0,5.13,0,0,0,3.85,62.49,0,0,45.69,0,0
 36-46,0,0,0,0,0,0,33.34,0.67,3.44,18.08,15.21,0,0,10.07,0,0,0,0,0,161.6,0,1.34,57.85,222.97,15.09,0,12.87,0,0,0.86,0,0,0,0,87.61,0,0.85,12.33,0,8.82
 48-58,0,0,0,1.81,0,0,44.67,0,0,24.44,31.04,0,0.54,11.94,0.38,0,0,0,0.81,188.73,0,3.37,22.51,241.05,16.71,0,14.22,0,0,0.94,0,0,0,0,15.58,0,1.01,8.41,0,4.74
 60-70,0,0,0,2.71,0,0,52.83,0,2.85,26.42,17.9,0,0,5.11,6.47,0,0.58,1.2,0,224.89,0,5.51,13.67,121.03,7.04,0,13.89,0,1.46,2.91,0,0,0,0,8.56,0,5.58,3.49,2.76,0
 72-82,0,0,0,0.55,0,0,47.62,0,0,27.32,16.96,0,0,8.53,0,0,0,0,0,237.27,0,6.18,12.41,94.79,3.38,1.41,7.07,0,7.36,0,0,0,0,0,1.38,0,1.83,10,1.73,0
 84-94,0,0,0,3.75,0,0,44.38,0,0,33.17,11.88,0.57,0,11.75,1.3,1.52,0.96,5.05,2.81,165.92,0,6.75,8.31,96.83,8.29,0,8.75,0,6.51,0.96,0,0.74,0,0,6.43,1.01,7.7,9.3,12.65,0
 96-106,0,0,0,1.83,0,0,42.71,0,17.1,3.41,9.89,0,0,7.03,1.45,0,10.79,4.24,0,206.44,0,17.69,8.53,103.06,0,0,14.45,0,3.98,1.17,0,0,0,0,2.49,0,0,7.17,6.17,1.22
108-118,0,0,0,2.8,1.26,1.83,27.56,0.42,0,27.2,9.05,0,0,0.43,1.25,0,0,0,4.92,153.02,0,9.01,5.72,61.8,1.79,0,15.27,0,10.49,0,0,0,0,0,0,0,0.8,0.65,7.72,0
120,0,0,0,1.08,0,0,51.97,0,0,60.16,50.28,0,0,0,21.73,0,0,0,0,186.62,1.56,12.96,4.24,92.29,7.2,0,22.5,0,7.37,2.19,0,0,0,0,0,0,0,11.12,0,0
