stage,axial,blastomeres,eye,mesenchyme,neural,paraxial.mesoderm,pronephros,spinal.cord
  3-4,0,101.29,0,0,0,0,0,0
  5-6,37.32,123.75,0,0,20.82,0,0,0
  7-9,0,0,8.19,0,26.04,22.56,0,0
 10-12,3.8,5.11,0,0,75.93,10.18,3.8,0
 14-21,0,0,0,0,0.86,0,0,0
 24-34,0,0,0,0.74,1.36,0,0,0
 36-46,0,0,0,0,0.57,0,0,0
 48-58,0,0,0.56,0,0,0,0,0.8
 84-94,0,0,0,0.62,0.99,0,0,0
 96-106,0,0,7.43,0,0,0,0,0
120,0,0,0,0,6.32,0,0,0
