stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.03,547.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.16,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.51,70.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.66,0,0,0,17.08,0,0,6.94,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.73,0,0,85.32,0,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,550.26,0,0,0,55.86,0,0,0,0,44.09,0,0,3.28,0,0,0,0,0
 14-21,0,0,0,27.92,3.23,26.52,0,0,8.32,0,2.21,0,1.65,0,0.92,0,2.82,6.01,0,0,1.36,265.72,0.95,1.7,15.77,1.83,0,0,0,4.29,8.14,0,4.48,83.98,0,0,0,0,13.96
 24-34,0,0,0.76,8.27,0,30.15,0,0,19.75,0,0,0,0,0,1.79,3.58,6.07,16.38,0,0,3.4,830.9,0,20.52,22.85,0,0,0,0,0,2.74,0.61,0,167.08,0,0,1.13,0,40.27
 36-46,0,0,0,0,0,70.79,0,0,17.79,0,0,3.14,0,0,10.03,0.66,0,10.42,8,0,7.02,1763.78,0,38.53,7.29,0,0,1.61,0.73,0,0,12.93,0,253.3,0,0,5.07,0,24.49
 48-58,0,0,0,2.51,0,188.43,0.42,1.35,42.18,3.41,0,0.44,0,0,3.59,0,0.8,19.5,0,1.13,2.2,1760.95,0,18.9,12.13,0,0.56,1.24,0,0,0.61,3,0,298.57,0,0,0.63,0,23.74
 60-70,0,0,0,3.21,0,308.6,4.01,0,60.75,0.57,0,0,5.54,0,6.76,0,1.05,15.51,0,0,2.46,1835.16,0,25.07,38.62,0,0,3.42,0,0,0,0,0,253.92,0,0,0,0,42.52
 72-82,0,0,0.75,2.67,0.55,278.79,0,0,42.41,0,0,0,0,0.65,17.33,0,0,19.32,0,0.77,1.7,1201.42,0,40.94,44.29,0,0,4.88,0,0,1.25,0,0,144.03,1.21,0,5.73,0,23.31
 84-94,0,0,0,0.99,0,216.44,0,8.01,20.62,0,0,0,0,1.39,16.14,0,2.6,14.87,0,0,1.17,921.04,0,22.77,42.38,0,0,1.03,0,0,0,1.19,0,92.43,0.74,0,3.24,0.63,19.37
 96-106,0,0,0,4.93,8.21,179.47,0,0.71,33.51,0.94,0,0.62,0,0,39.18,0,2.42,11.12,0,0,1.39,628.93,0.69,34.43,64.08,0,0,4.72,0,0,0,0,0,35.63,0.62,0,0,0,14.2
108-118,0,0,0,7.29,3.61,171.03,0,0,24.35,4.36,0,0,0,0.65,26.73,0,2.47,23.51,0,0,0,847.96,0,34.01,63.68,0,0,0,0,0,0,0,0,27.5,0,0,1.03,0,35.52
120,0,0,0,19.62,0,204.29,1.21,0,37.24,0,0,0,0,0,19.43,0,0,22.94,0,0,3,1004.66,1.03,48.83,83.22,0,0,0,0,0,0,0,0,37.11,0,7.39,0,0,43.23
