stage,epidermis,eye,fin.mesenchyme,ionocyte,mesenchyme,neural,otic,presomitic.mesoderm,spinal.cord,taste
 14-21,0,0,0,0.81,0,8.94,0,2.59,6.19,0
 36-46,0,0.6,0,0,0,0,0,0,0,0
 48-58,0,0,0.51,0,0.88,0,0.7,0,0.59,0
 72-82,0,1.2,0,0,0,0,0,0,0,0
 84-94,1.86,0,0,0,1.01,0,0,0,1.58,0
 96-106,0,6.52,0,0,0,0.96,0,0,0,0.67
108-118,0,0,0,0,0.56,0,0,0,0,0
