stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,60.69,335.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.23,201.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.68,0,0,0,0,0,11.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.9,3.33,0,0,28.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.74,0,8.63,0,0,0,9.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.93,0,0,0,8.84,0,0,0,7.47,0,0,0,0,0,0,0
 14-21,0,0,1.38,0,16.99,8.18,0,83.53,0,0,0,10.24,0,0,0,0.95,0,0,0,0,0.94,2.58,0,0,0,606,0,2.18,4.77,0,0,1.44,17.42,0,1.5,7.4,1211.55,0,0,0,0
 24-34,0,0,0,0,9.79,0,0,1411.66,0,0.86,0,231.04,0,0,0,0,0,3.6,12.34,1.41,10.22,12.57,0,0,24.34,3719.12,0.64,8.29,63.47,0,8.48,0,0,0.71,0,8.71,2713.23,0,34.78,0,0
 36-46,0,0,0,0,1.81,0,0,2115.24,0,0,0,152.73,0,0,0.68,0,0,0,1.78,1.69,4.89,24.02,3.65,0.89,3.01,2139.41,0.97,7.83,16.66,0,23.61,0.73,0,0,0,0,1715.59,0,1.59,0,0
 48-58,0.78,0,0,0,9.52,0.38,0,2893.22,0,0.59,0,556.45,0,2.63,0.63,0,2.83,3.33,3.84,0,0,50.18,0,0,4.4,2262.34,1.91,8.75,36.71,0,0.95,0,0,0,1.63,0,1268.49,0.64,5.12,0,3.14
 60-70,0,0,0,0,3.9,0,0,2130.76,0,0.82,0,586.76,0,2,0,0.7,0,0,14.21,0,0,34.91,0,1.41,0.65,892.54,3.46,4.68,28.43,0,0,0,0,0,0,0,295.57,0,0,0,0
 72-82,0,0,2.37,0,11.53,7.51,0,2792.79,0.75,0.56,2.64,1311.53,0,0,0,1.16,0.63,0,43.83,0,0,186.18,0,0,0.6,1342.39,0,6.87,44.11,0,1.95,0,0,0,0,0,182.49,0,2.46,3.81,0
 84-94,0,0,0,0,8.59,4.21,0,1959.7,0,1.75,0,884.74,1.57,0.86,0,0.64,0,0,76.9,0,0,71.34,0,13.61,10.96,757.59,0,11.42,21.24,0,1.92,0,0,0,2.75,0,128.1,0,22.57,3.05,0
 96-106,0,0,1.41,0,7.6,0,3.07,1653.24,0,0,2,701.41,0.62,0,0,0,0,2.42,45.33,9.15,0,38.92,0,0.8,1.08,647.18,3.78,20.34,27.58,0,6.13,0,0,0,16.5,0,58.28,1.65,7.7,0.96,0
108-118,0,0,0,0,6.84,0,0,1368.35,0,0,1.11,616.42,0,0,0,0,0.65,0,30.83,11.82,1.18,49.74,0.94,0,3.49,596.52,0,13.74,24.18,0,0,0,0,0.53,0,0,20.31,0,0,0,0
120,0,0,2.96,0,12.08,5.61,0,1028.19,0,0,0,588.14,0,0,0,2.27,0,0,50.18,0,0,96.61,0,0,1.49,651.14,0,12.82,28.91,0,0,0,0,0,1.21,0,36.11,3.48,0,0,0
