stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.72,0,0,0,8.01,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.32,0,0,0,3.91,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,259.19,0,0,0,55.34,0,0,0,11.22,0,0,0,0,0,0,0,0
 14-21,0,0,9.62,97.78,20.97,0,27.92,0,0,0,19.35,1.69,0,0.89,0,0,0,0,0,0,57.83,0,0,97.23,758.49,44.48,1.83,0,0,0,0,1.17,1,0,60.42,283.75,0,0,0,0,0
 24-34,0,0,3.87,51.8,3.27,0,39.93,0,0,0,37.74,0.68,0,7.93,0,0,0,7.8,0,0,143.94,0,0,70.88,2423.66,8.03,0.63,3.86,0,0,30.46,0,0.93,0,7.93,464.48,0,0,37.71,0,0
 36-46,0,0,0,41.65,0.58,0,50.72,4.89,3.99,0.87,79.97,1.39,0,0.73,0,0,0,1.73,0,0,110.31,0,5.04,42.54,3221.23,18.87,2.61,0,0,0.97,63.61,0,0,0,0,670.31,0,0,15.12,0,0
 48-58,1.16,0,0,59.09,0,0,361.54,0.86,10.82,1.54,139.33,3.3,0,0.78,4.19,0,5.36,2.66,0,0.98,244.48,0,10.48,42.68,4383.14,4.74,2.4,3.02,0,0,15.07,0,5.85,1.28,0,836.98,0,0,19.5,0,7.32
 60-70,0,0,0,49.3,15.02,0,458.8,0.58,6.07,10.08,113.61,3.79,0,2.51,5.33,0.6,0,3.41,4.47,0,319.41,0,29.26,38.92,3797.68,5.91,10.73,3.04,0,0,17.06,0,0,2.94,0,587.77,0,3.77,19.9,10.09,6.89
 72-82,0,0.64,0,33.34,1.89,0,400.83,1.78,0,9.59,153.82,0.97,0,0,0,0,3.93,3.67,0,0,442.41,1.15,51.56,30.72,2906.38,0,0,7.41,0,0.71,16.04,0,0,0.53,0,351.83,2.71,11.01,82.44,25.76,4.07
 84-94,0,0.66,0,62.79,2.86,0,347.55,3.22,1.36,2.45,74.42,9.97,0,6.82,0,0,0.8,7.8,0,0,293.62,0.91,54.29,10.78,1553.67,6.53,0,8.28,0,0,8.25,0,0,0,0,164.86,1.46,20.14,65.06,21.43,3.81
 96-106,0,0,0,23.59,17.81,3.86,151.24,0,3.11,3.81,57.73,5.85,0,0,0,0.59,0.75,5.89,27.3,0,177.54,0.69,26.23,17.01,1130.73,1.05,0.71,2.9,0,1.6,5.94,0,0,0,0,80.81,0,10.38,90.69,29.18,0
108-118,0,1.84,0,72.81,0,0,277.86,9.07,3.43,6.09,113.97,11.36,0,0,0,0,0,0,3.19,0,250.79,2.07,18.02,19.25,1194.65,1.93,2.25,2.55,0,4.99,14.34,0,0,0,0,58.53,0,15.37,65.67,18.1,0
120,0,0,0,183.92,0,0,380.28,5.77,7.8,2.66,239.7,7.51,10.41,6.79,0,0,7.72,7.89,0,0,417.38,0,81.65,52.67,2943.18,7.87,0,0,0,61.67,1.09,0,1.13,0,0,23.48,0,17.06,119.49,25.34,0
