stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,60.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.15,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.06,14.58,25.77,0,0,18.02,0,0,0,0,0,0,0,0,0,0,0,0,120.3,14.92,0,0,50,0,0,0,0,0,0,0
 10-12,0,13.74,27.8,0,5.32,21.34,0,0,0,0,0,0,0,0,0,0,0,0,198.72,0,0,0,112.91,0,0,0,0,0,0,0
 14-21,0,0,0,1.18,2.6,1.06,0,0,1.15,0,0,0,0,0,7.39,0,0,2.03,27.59,0,0,0,0,0,2.63,7.1,0,0,0,0
 24-34,0,0,0,0,0,5.1,0,0,0,0,0.98,0,0,0,4.99,0,0,0.71,67.56,0,0,0.74,0,0,1.06,17.83,0,4.71,0,0
 36-46,0,0,0,0,0,10.46,0,0,5.29,0,0,0,0,3.34,23.3,0,6.69,1.7,69.29,0,4.77,0,0,0,0,11.21,0,0.56,0,0
 48-58,0,0,0,2.91,0,28.47,0,0,4.2,0,0,0,0,0,20.64,0,1.21,1.3,71.96,0,1.08,0.67,0,0,0,12.02,0.37,4.24,0,0
 60-70,0,0,0,1.02,0,84.77,0,0,13.72,0,0,0,1.2,1.57,21.53,0,4.03,2.08,51.7,6.22,6.22,5.64,0,0,0,14.54,2.55,4.86,0,0
 72-82,0,0,0,3.14,0,140.32,0,0,11.46,0,0,0,0,1.05,29.95,0,0.55,3.42,73.54,0,1.38,1.93,0,2.44,0,1.81,2.23,1.58,0,1.18
 84-94,0,0,0,0,0,85.51,0,0,15.19,0,0,0,0,0,12.75,0,3.77,1.34,69.09,0.91,0,1.76,0,0,0,0,0.77,4.84,0,0
 96-106,0,0,0,0.88,1.68,115.6,0,0,23.38,0,0,1.57,0,2.67,26.71,0,3.11,2.48,48.37,0,8.01,2.96,0,2.35,0,2.12,4.55,4.75,0,3.29
108-118,0,0,0,0.43,0,95.42,0.53,2.54,15.79,1.45,0.56,1.03,0,0,31.61,0.49,3.28,0,70.63,0.56,0,0,0,1.19,0,4.18,1.37,8.31,0.66,0
120,0,0,0,1.74,0,214.95,2.16,0,20.58,0,0,0,0,0,48.92,0,0,10.07,238.01,0,17.67,16.56,0,0,0,0,0,0,0,0
