stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,xanthophores
  5-6,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,13.51,0,0,0,0,0,0,0,0,0,0,4.24,0,16.78,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.65,0,3.62,0,0,0,0,0
 14-21,0,1.03,1.89,0.95,0,0,0,0,0,0,0,0,0,0,7.81,0.82,0,0,1.87,4.99,0,0
 24-34,0,0,0,2.68,0,0,0,0,0,0,0,7.61,0,0.96,19.02,0,0,0,0,1.2,1.83,0
 36-46,0,0,0,1.46,0,0,5.48,0.63,0,0,0,0,0,0.67,14.53,0,0,0,0,3.74,0,0
 48-58,0,0,0,2.4,12,0,0,1.63,0,0,0,5.98,0,0,9.16,5.65,0,0,0,1.5,0,0
 60-70,0,0,0,0.64,0,0,0,4.34,0,1.86,0,1.88,0,0,4.22,0,0,0,0,0,0,0
 72-82,0,0,0.52,2.82,0,0,0,0,0,0,0.94,5.02,0,0,7.51,0,0,0,0,3.2,0,2.27
 84-94,0,0,0.57,2.89,0,0.97,0,2.96,0,0,0,4.34,0,0.57,5.85,0,0,1.61,0,0,0,0
 96-106,0,0,0,7.71,0,1,0,5.4,1.53,0,0,6.19,0,0.7,8.24,0,0,1.82,0,0,1.56,1.69
108-118,0,0,0.45,5.11,0,0,0,4.53,0,0,0,2.38,0,5,4.44,0.46,0,0,0,0,1.14,0
120,0,0,0,0,0,0,0,22.25,0,0,0,2.85,9.18,0,10.07,0,0,0,0,0,0,0
