stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,paraxial_mesoderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,12.39,66.12,0,0,0,0,0,0,0,0,0,0
  5-6,0,134.09,0,0,0,0,0,0,0,0,0,0
  7-9,3.21,0,0,0,0,0,0,43.49,11.9,0,0,0
 10-12,0,0,0,0,0,0,0,36.54,0,0,0,0
 14-21,0,0,3.37,0,0,3.1,0,14.28,0,0.98,0,2.03
 24-34,0,0,0,0,0,0,0,11.79,0,0,0,2.28
 36-46,0,0,0,0.58,0,0,0,9.98,0,0,1.31,0
 48-58,0,0,4.17,0,0,0,0,3.46,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.78,0,0,0,0
 72-82,0,0,0,2.34,2.07,8.17,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.77,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.92,0,0,0,0
108-118,0,0,0,0,0,0,0,1.09,0,0,0,0
120,0,0,0,8.35,0,0,0,0,0,0,0,0
