stage,blastomeres,epidermis,eye,glial,mesenchyme,neural,otic,paraxial.mesoderm,periderm,pgc,spinal.cord
  3-4,357.46,0,0,0,0,0,0,0,59.54,0,0
  5-6,183.85,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,43.74,0,3.67,0,0,0
 10-12,0,0,0,0,0,3.82,0,0,0,5.95,0
 14-21,0,0,0,0,0,0.91,0,0,0,0,0
 24-34,0,0,0,0,0,3.13,0,0,0,0,0
 36-46,0,0,0,0,0,7.5,0,0,0,0,3.01
 48-58,0,0,0.4,1.81,0,10.68,0.51,0,0,0,0
 60-70,0,0,11.25,0.85,0,22.07,0,0,0,0,0
 72-82,0,0,6.12,1.84,0,11.67,0,0,0,0,0
 84-94,0,0,2.36,0,0,12.08,6.75,0,0,0,2.37
 96-106,0,0,0,0,0.63,27.78,0,0,0,0,0
108-118,0,0.93,1.99,1.09,1.4,25.57,0,0,0,0,0
120,0,0,3.51,0,0,37.98,0,0,0,0,0
