stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.71,0,0,0,0,0,5.4,0,0,0,0,3.57,0,0,0,0,0,0,0,0,26.21,4.51,0,0,13.56,0,0,0,0,0,0
 10-12,0,0,0,13.61,0,0,14.04,0,0,0,0,0,0,0,0,0,0,0,0,0,89.81,0,0,0,28.71,0,0,0,0,0,0
 14-21,0,0,0.82,0,4.56,0,3.2,0,0,0.97,0,0,0,0,0,0,0,0,0,0,48.84,0,0,0,2,0,20.26,0,0,0,0
 24-34,0,0,1.27,0,0.62,0,2.32,0,0,0,0,0,0,0,0,0,0,2.46,0,0,187.49,0,2.51,1.96,0,0,83.22,0,0,0,0
 36-46,0,0,0,0,0,0,6.23,0,0,1.58,0,0,0,0,0,0,0.66,1.28,0,0,405.6,0,1.46,0.74,0,3.49,102.96,0,0,0,0
 48-58,0,0,0.65,0,1.84,1.49,57.38,0,0,9.67,0,0,0,5.82,0,0,0,6.66,0,0,707.76,0,2.72,0.74,0,0,125.87,0,0,0,0
 60-70,0,0,0,0,0,0,96.04,0,0,23.25,0,0,0,0,0,0,0,5.49,0,4.58,1021.1,0,4.1,2.61,0,3.58,176.25,0,0,0,6.34
 72-82,0,0,1.55,0,1.12,0,181.58,0,0,13.4,1.26,0,0.78,0.53,0,0,0,16.37,0.93,1.13,1206.22,0,0,4.52,0,0,84.36,0,0,0,3.15
 84-94,0,0,0.84,0,11.42,0,115.96,0,0,13.87,0,0,0,0,0.86,0,0,5.17,0,0,744.41,0,3.38,2.57,0,2.93,55.53,0.6,0,0,0
 96-106,0,0,3.37,0,8.57,4.41,113.43,0.6,0,14.6,1.16,0,0.77,0.74,0.75,1.45,0,9.88,0.68,0,729.02,0,4.92,10.36,0,0.76,44.7,0,3.41,0,2.76
108-118,0,0,0.55,0,6.67,0,110.14,0,0.44,28.4,0,0,0.61,0.86,0,0,0,9.93,0,0,696.55,0,3.5,4.78,0,6.59,14.76,0,1.63,0,3.31
120,0,0,0,0,6.47,5.61,107.05,1.16,0,26.28,0,0,0,0,0,0,0,0,0,0,999.05,0,0,0,0,0,16.83,1.37,0,4.11,0
