stage,blastomeres,endoderm,epidermis,eye,glial,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  3-4,18.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,9.99,0,0,0,0,6.31,0,0,0,0,0,0
 10-12,0,6.36,0,0,0,0,0,0,42.96,0,5.42,0,0,0,0
 14-21,0,0,2.75,0,0,0.86,0.9,4.42,20.71,0,0.83,0,2.19,2.67,9.96
 24-34,0,0,0,3.82,0,0,4.91,0.89,24.16,0,0,0.59,0,0.64,2.59
 36-46,0,0,2.07,6.7,0,0,0,0,5.02,0.71,0,1.07,0,0,0
 48-58,0,0,0,2.6,0.66,0,1.2,0,10.32,0,0,0.39,0,0,1.8
 60-70,0,0,1.69,0,0,0,3.63,0,6.44,0,0,0,0,0,0
 72-82,0,0,1.17,1.16,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,2.51,0,0,0
108-118,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0
120,0,0,15.92,1.93,0,0,6.02,0,0,0,0,0,0,0,0
