stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,27.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691.15,0,0,0,8.57,0,0,0,6.91,0,0,0,0,0,0,0,0
 14-21,0,0,0,16851.26,19.23,0,80.85,0,174.69,0,1.19,0.82,24.63,0,0,60.65,0,1.68,0,0,14.01,77.62,0,6.3,141.24,3.83,5.25,1.29,2.28,0,21.75,16.53,0,3.47,13.79,32.08,0,0,0,0,0.95
 24-34,0,0,3.49,20421.46,0,0,53.85,0,1491.1,1.43,3.08,0.64,8.48,1.18,0,7.84,0,7.15,8.32,5.64,69.77,227.08,1.63,59.82,797.01,6.75,22.35,3.39,0,1.61,52.15,0,2.75,2.19,23.72,70.35,0,0,19.45,0,5.47
 36-46,0,0,0,12178.63,0,0,28.68,0,2140.63,7.23,4.54,0,0,1.05,1.06,69.33,0,0.95,0.93,0,32.66,109.76,1.86,3.87,499.58,2.75,39.95,0,0,0,33.06,0,0.94,4.82,0,46.6,0,0,0.6,0,6.2
 48-58,0,0,0,9120.51,0,0,103.38,0.7,2297.87,2.76,22.57,0,1.16,0,0,7.36,2.58,0.78,1.29,1.6,32.79,61.62,0,5.84,454.99,5.29,29.78,3.22,0,0.97,14.53,0,0,0.79,0,55.49,0,0,2.52,0,30.24
 60-70,0,0,0,9378.47,1.19,0,132.89,0.83,2415.44,8.34,9.23,12.26,0,0,0.57,37.38,0,7.8,3.31,0,46.69,99.64,5.2,4.89,325.36,6.77,31.7,2.39,0,0,18.07,0,6.27,0,0,25.58,5.2,0,7,5.52,1.93
 72-82,0,0,0.75,7318.83,19.08,0,176.1,0,1690.53,15.49,41.75,18.36,0,0.79,0,26.25,0,2.94,0,6.49,69.1,100.84,6.09,3.04,237.29,0,74.85,2.52,0,0,25.34,0,0,0,0,36.85,12.89,0,11.53,4.62,13.49
 84-94,6.15,0,0,15899.87,14.02,0,195.08,5.26,3730.08,0.75,22.57,69.54,0,0,2.18,82.4,8.64,1.37,2.03,0,66.84,166.08,1.23,2.82,180.68,0,93.21,4.56,0,0,20.53,0,3.02,0,0,7.31,64.97,0,5.52,21.06,0
 96-106,0,0,0,16411.11,42.98,4,159.04,5.25,3172.7,23.14,18.36,162.62,0,1.2,15.69,87.04,1.05,4.65,30.2,4.46,110.69,228.99,15.34,10.93,351.43,0.62,157.88,17.86,0,1.82,66.77,0,0,0,0,18.25,89.58,1.2,25.45,5.38,20.68
108-118,1.49,0,0,21937.4,20.6,4.95,144.29,0,5416.29,11.1,45.14,362.91,0,3.86,3.8,161.88,8.02,3.81,11.17,9.89,116.35,166.68,6.31,9.68,294.04,0,147.09,28.54,0,1.07,44.22,0,21.01,0.49,0,22.74,171.23,0,10.98,6.16,2.68
120,2.82,0,0,15790.65,17.26,0,178.06,0,3649.47,0,42.22,113.18,0,2.63,13.39,90.58,5.27,14.21,30.93,0,147.72,160.48,24.62,6.25,470.78,0,116.4,36.28,0,22.69,34.04,0,3.76,0,0,18.26,46.92,3.8,4.57,8.41,0
