stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.68,5.96,0,0,8.71,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,10.79,0,24.22,0,0,0,7.04,0,0,0,0,0,0,0,0,0,0,0,0,87.92,0,0,0,27.39,0,0,0,7.7,0,0,0,0,0,0,0,0
 14-21,0,0,6.66,36.5,5.75,0,7.05,0,0,1.18,1.84,4.35,0,0,0,0,12.9,0,8.42,175.8,5.3,0,1.87,0,0,0,5.65,1.05,0.88,11.71,28.17,0,0,0.82,0,0
 24-34,0,1.51,2.63,3.67,0.81,0,17.71,0,0.89,2.28,0,3.4,0,0,0,0,23.04,0,5.2,498.08,0,9.41,0,0,0,0,0,0,0,2.3,82.5,0,0,12.12,0,0
 36-46,0,0,0,2.47,0.76,0,34.75,0,2.17,10.23,0,0.68,0,0,0,0,25.27,0.57,4.28,863.95,0,32.17,0.62,0,0,0,0,0,0,0,70.28,0,0,2.96,0,0
 48-58,0,1.09,0,0.75,0,0,164.01,0,0.93,20.51,0,0,0,0,0,0,29.54,1.52,2.99,1630.69,0,13.57,0,0,0,1.98,0,0,0,0,94.45,0,0,19.12,0,4.59
 60-70,0,0,0,15.95,0,0,805.41,0,0.86,30.05,0,0,0,0,0,0,38.28,2.71,1.84,2568.32,0,14.52,0.63,0,0,0,0,0,0,0,98.8,0,1.31,0.84,0,0
 72-82,0,3.39,0,12.91,0.69,0,1659.08,1,2.43,61.8,0,1.33,0,0.62,5.32,0,40.66,0,2.92,3462.94,0,10.37,7.07,0,0,1.87,0,0,0,0,131.48,0,1.24,2.46,4.84,4.84
 84-94,0,1.15,0,16.2,0,0,1152.05,0,0.94,44.96,0,0,0,0,0,1.25,40.96,8.33,0.69,2018.43,0,18.36,7.85,0,0,4.11,0,0,0,0,74.35,0.9,0.84,0,3.09,0
 96-106,0,0,0,8.08,1.56,1.05,1807.26,10.91,0,44.06,0,0,0.64,0,1.56,0,22.48,1.24,4.95,2010.6,0,24.17,8.37,0,0,0.63,0,0,0,0,30.44,4.97,3.26,0,2.09,3.35
108-118,0,0.84,0,30.19,4.21,0,1391.4,0,3.61,45.65,0.45,0,0.44,3.96,2.83,0,53.76,0.69,3.65,2251.02,0.69,18.36,5.39,0,8.48,2.09,0,0.94,0,0,32.02,0.71,1.1,0,10.82,0
120,0,3.64,0,29.08,0,0,1204.07,0,0,96.27,0,0,8.45,0,19.69,0,52.35,2.35,7.54,3495.27,0,27.88,9.99,0,0,0,0,3.15,0,0,35.8,0,0,0,7.45,0
