stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,periderm,spinal_cord,xanthophores
  3-4,39.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12,0,0,0,0,0
 10-12,5.74,0,0,0,0,0,9.52,0,0,0,0,0,0,30.46,9.32,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.37,0,0
 24-34,0,0,0,0.84,0,0,0,0,0,0,0,0,0.99,8.1,0,0,152.05,0,0
 36-46,0,0,0,0.82,5.63,0.62,0,0,0,0,0,0,0,8.82,0,0,221.77,0,0
 48-58,0,0,0,0.61,0,0,0,0,0,0,0,1.13,0,5.01,0,0,90.57,0,0
 60-70,0,0,0,3.18,0,0,0,0,0,0,0,0,0,5.47,0,0,64.26,1.08,0
 72-82,0,1.84,0.62,3.86,1.08,0,0,0,0,2.25,0.95,0,0,0,0,0,25.76,0,2.8
 84-94,0,0,0,0,0.63,1.45,0,0,5.05,0,0,0,0,1.97,0,0,113.89,4.66,0
 96-106,0,0.58,0,4.29,0,0,0,8.66,0.58,2.85,0,0,0.96,12.97,0,0,100.45,0,0
108-118,0,1.06,0.56,0,1.49,1.86,0,0,2.69,0,0,0,0,6.98,0,0.91,74.47,0,0
120,0,3.22,0,6.23,1.22,0,0,0,8.93,0,4.38,0,0,3.19,0,0,35.46,8.64,0
