stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,mesenchyme,muscle,neural,periderm,pronephros,spinal_cord
  3-4,21.95,254.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,125.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,23.22,0,0,0
 10-12,0,0,21.34,0,0,0,5.96,0,0,0,0,0,0,9.72,0,0,0
 14-21,0,0,0,2.19,0,0,0,0,0,1.46,0,0,2.71,0,0,0,0.9
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.92
 36-46,0,0,0,0,0,0,0,0,1.72,0,0,0,0,3.39,0,1.31,1.9
 48-58,0,0,0,0,0,0,0,0,1.17,0,0,1.41,0,5.45,0,0,1.6
 60-70,0,0,0,0,0,0,7.99,0,0,0,0.63,0,0,4.25,0,0,0
 72-82,0,0,0,0,0,0,0.62,0,0,0,0,0,0,9.01,0,0,0
 84-94,0,0,0,0,0,0,1.02,0,0,0,0,5.66,0,0,0,0,0
 96-106,0,0,0,0,1.72,1.07,0,0.57,0,0,0,0,0,2.07,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,0,0
