stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,61.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,83.82,148.01,2.7,11.87,0,35.66,0,0,0,0,63.02,0,0,0,0,0,0,263.25,0,0,0,0,0,12.01,25.25,0,0,1.28,0,0,0,3.46,6.53,0,0.84,4.15,0,0,1,0,0
 24-34,0,15.55,140.25,1.88,23.16,0,160.33,0,0,0,0,231.87,0,0,0,0,0,0,782.9,0,2.08,0,0.81,9.88,74.88,22.94,0,0,0,0,3.91,0,0,19.08,0,0,5.93,0,0,8.47,0,1.83
 36-46,0,0.95,54.94,0,7.37,0,198.05,0,0,0,1.16,210.84,0,0,1.92,0,0,0,625.28,0.77,2.48,0,0,3.98,106.47,6.31,0,0,0,0,0.61,0,0,10.19,2.58,0,9.23,0,0,0.58,0,12.21
 48-58,0,17.92,0,0,0.69,0,197.26,0,0,0.44,5.05,1145.67,0.39,0,0,0,4.16,0,414.1,1.15,14.5,0,0.44,1.98,207.64,0.52,0,0,0,0,1.27,0,0,4.61,0,0,32.9,0,0.64,0.5,0,10.91
 60-70,0,1415.25,0,45.13,5.15,8.61,365.27,0,7.29,1.48,26.33,6245.14,0,0,4.42,0,0.78,0,2253.5,10.04,82.4,0,1.3,14.17,502.69,3.47,1.11,0,0,0,36.2,0,0,2.12,0,0,47.21,0,4.47,7.05,0,7.76
 72-82,0,4676.05,91.12,80.23,121.23,34.87,918.9,6.88,12.01,23.81,150.24,18994.03,0,7.05,32.6,4.85,47.92,7.86,1715.07,13.73,346.55,3.97,11.82,39.69,3076.28,3.25,20.8,9.57,0,13.53,103.71,0,0,7.53,0,0,155.99,27.51,10.88,55.05,10.73,118.61
 84-94,0,6579.54,697.82,106.82,184.34,87.76,1219.01,11.92,4.27,32.54,148.45,43346.42,0.77,8.82,81.89,20.11,18.1,29.61,3671.89,9.61,389.68,16.63,17,38.7,2499.26,23.73,18.84,14.08,0,1.75,277.24,0,0,55.32,1.43,0,89.26,11.6,6.83,56.52,13.78,56.89
 96-106,0,6103.13,1965.2,315.31,601.64,71.12,2917.07,58.06,82.97,83.5,589.79,66602.91,0,10.66,137.77,22.95,40.09,21.95,7704.96,13.89,995.32,32.69,47.02,115.78,8987.42,36.64,57.52,42.13,0,29.44,719.5,27.6,0,16.43,3.96,0,152.99,102.27,38.15,111.8,52.96,320.61
108-118,0,4756.97,2718.88,249.63,174.12,144.34,1713.27,67.74,47.69,50.4,408.8,88280.25,0,10.68,51.01,23.04,37.23,16.81,13365.43,23.47,1041.54,40.03,46.55,70.68,8588.9,24.06,20.58,23.02,0,21.81,365.87,0,0,80.09,7.09,0,127.38,66.33,11.17,117.03,27.12,64.11
120,49.67,4368.82,1107.38,323.65,162.91,49.17,1393.33,22.81,19.04,19.8,344.54,67227.07,0,8.47,83.37,14.2,32.79,2.9,12380.13,0,805.26,34.39,42.91,70.26,6766.07,17.47,44.77,49.69,0,36.7,115.89,0,0,346.67,0,0,44.31,11.01,13.48,219.26,47.99,65.95
