stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,8.67,25.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7,0,0,0,5.98,5.78,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.73,5.45,0,0,5.57,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,9.19,0,0,0,0,1.06,10.37,0,27.23,8.74,7.67,0,0,0,0,0
 24-34,0,0,0,0,0,0,5.59,0,0,1.13,0,5.39,0,0.74,0,0,0,0.8,5.11,0,0,27.68,134.02,0,0,0,0,1.74,0,0.65,64.48,5.07,28.51,0,0,1.35,0,0
 36-46,0,0,0,0,0,1.39,74.42,0,0,0,0,13.38,0,0,0,0,9.67,0,7.9,0,0,13.53,254.92,0.66,4.91,0,0,1.25,0,2.42,135.92,0,48.45,0,0,0,0,0
 48-58,0,0,5.74,0,0,29.61,95.99,0,0.87,11.9,0,0,0,0,0,0.51,0,0.53,15.83,0,0,27.36,494.75,1.52,0.47,0,4.77,5.19,0,0,108.49,0,67.33,0,0.42,0,0,2.62
 60-70,0,0,5.47,0,0,104.76,145.8,0,0,7.1,0,3.33,0,0,0,0,0,6.42,25.81,0,0,28.23,773.85,0,0,0,0,9.54,0,0,88.02,0,98.11,0,0,4.83,2.76,0.72
 72-82,0,0,2.47,10.61,0,255.21,131.63,0,4.52,29.16,0,0,0,1,0,0,0,0,35.35,0,0,12.02,1094.37,2.74,0,0.84,4.01,5.79,0,0,43.74,0,79.99,0,0,4.2,0.57,17.88
 84-94,0,0,6.62,17.6,0,220.46,195.26,0.63,2,17.29,0.57,0.8,0,0,0,0,0,9.73,31.15,0,0,34.84,767.37,7.44,4.89,0,0,3.44,0,0,74.22,0,57.19,6.32,0,1.82,0,0.62
 96-106,0,0,6.68,17.65,0,250.29,268.83,0,6.67,33.85,0.57,1.61,2.87,3.43,0,3.62,3.73,0.72,57.9,6.88,4.78,39.36,735,0,3.6,2.88,3.61,31.06,0,0.71,77.68,0,48.65,4.07,2.81,2.7,2.88,10.08
108-118,0,0,13.14,13.99,0.59,194.11,320.2,3.52,1.6,21.56,2.1,7.15,1.98,0,0.42,0,0.7,3.9,38.69,0,0,79.03,906.44,0.51,0.95,0.78,0,4.14,0,0.42,83.41,0,35.7,10.04,6.49,1.41,0,2.71
120,0,0,23.44,1.79,28.38,197.82,381.02,0,0,43.75,0,1.15,2.8,0,0,0,0,0,28.08,0,13.19,168.07,1544.74,0,0,0,0,4.8,2.24,2.61,42.54,0,59.57,0,0,0,0,0
